Bonus.wmbt
Coin_Player_1P	{key[Bonus_Coin_1P|Half]}
Coin_Player_2P	{key[Bonus_Coin_2P|Half]}
Explanation.wmbt
Lifting_00	キャラクターを そうさして\nボールを おとさないように\nリフティングを つづける\nゲームです。
Lifting_01_00	フィールドの へんか
Lifting_01_01	じかんとともに へんかする フィールドは\nボールに いろいろな えいきょうを\nあたえるぞ！\n\nまどわされずに\nリフティングをつづけよう。
Lifting_02_00	ふたり いじょうで あそぶとき
Lifting_02_01	・ボールのいろと\n　おなじいろのプレイヤーが　\n　リフティングしないと\n　かいすうが カウントされないぞ！\n\n・ボールを おとさないように\n　おたがい きょうりょくしよう。
CombatMob_00	つぎつぎと せまりくる テキを \nなんにん たおせるか ちょうせんするゲームです。\nたいりょくが ０ になると ゲームオーバーです。
CombatMob_01_00	ボスを たおそう
CombatMob_01_01	・テキを たおしつづけると\n　ボスが しゅつげん。\n\n・ボスは ほかのテキよりも\n　てごわいかわりに、\n　たおすと じぶんの たいりょくが \n　すこしだけ かいふくするぞ！\n\nどこまでいけるか チャレンジしよう！
SuperWarioCo_00	ワリオカンパニーの しゃいん として\nえいぎょう まわりに いきましょう。\nちからつきるまで おわらない\nよこスクロールの ゲームです。
SuperWarioCo_01_00	うりあげを のばそう
SuperWarioCo_01_01	・おそいくる えいぎょうの ライバルたちに\n　やられないように かいしゃを めざそう！\n・かいしゃに つくと うりあげが けいさんされるぞ。\n・けいやくしょを あつめたり、キャラチェンジを したり\n　すると うりあげアップ！
SuperWarioCo_01_02	ライバル
SuperWarioCo_01_03	けいやくしょ
SuperWarioCo_01_04	キャラチェンジブロック
SuperWarioCo_02_00	けいやくしょ
SuperWarioCo_02_01	・けいやくしょは ひろうと プレイヤーの \n　うしろを ついてくる。\n・ぜんぶ あつめると けいやくボーナスが もらえるぞ！\n・えいぎょうの ライバルに あたると\n　けいやくしょを うばわれてしまうので きをつけよう！
VolleyBall_00	ふたつのチームに わかれて バレーボールを します。\nとびどうぐ アリ、ボールに なんかい さわっても よいので\nとにかく ボールを あいてのコートに うちかえしましょう。
VolleyBall_01_00	ボールを うちかえそう
VolleyBall_01_01	・じぶんのコートの なかに\n　ボールが おちてしまったり、\n　５カウント いないに\n　ボールを うちかえせないと アウト！\n\n・さきに ６かい アウトになった \n　チームの まけ！
VolleyBall_02_00	スマッシュを きめよう
VolleyBall_02_01	・カウントが ３まで へると\n　ボールに ちからが たまるぞ。\n\n・ちからが たまっているときに \n　ボールに あたると スマッシュ！\n\n・あたる かくどや こうげきによって\n　スマッシュのつよさが かわるぞ！
VolleyBall_03_00	なにかが おこる？
VolleyBall_03_01	・ボールの うちあいが つづくと\n　さまざまな ハプニングが おきるぞ。\n\n・ハプニングによって じょうきょうが\n　おおきく かわることも…！？
SurvivalBattle_00	２がめんに わかれて、ふたりで おなじゲームを プレイし\nさいごまで いきのこった プレイヤーが かちです。
SurvivalBattle_01_00	きほんルール
SurvivalBattle_01_01	・ゲームに しっぱいすると、ライフが ひとつ へるぞ！\n　さきに ライフが ０になった プレイヤーの まけ！\n\n・ライフの かずは それぞれの プレイヤーが\n　１～４（または １～８）の はんいで かえられるぞ！\n　ふたりの じつりょくに あわせて ちょうせいしよう！
SurvivalBattle_02_00	モードの ちがい
SurvivalBattle_02_01	『はやいものがちマッチ』は スピードしょうぶ！\nどちらかの プレイヤーが ゲームを せいこうさせると\nもうかたほうは さいごまで あそべずに しっぱいになり、\nライフが へってしまうぞ！
SurvivalBattle_02_02	ふたりで おんなじキャラクターを\nつかって たたかう、ガチンコしょうぶや。
SurvivalBattle_03_00	サドンデス
SurvivalBattle_03_01	・ふたりのライフが どうじに ０になると\n　サドンデスに とつにゅう！\n・サドンデスでは どちらか かたほうだけが\n　ゲームを せいこうさせたときに しょうぶが きまるぞ！
ContributionBattle_00	ふたりで おなじゲームを プレイし\nどれだけ がんばったかを きそいます。
ContributionBattle_01_00	がんばって ★を もらおう
ContributionBattle_01_01	・せいこうしたときに、より がんばった プレイヤーには \n　かみさまが ★を あたえてくれるぞ！\n\n・しっぱいしたときに、あしをひっぱった プレイヤーは\n　★を ぼっしゅうされるぞ！　\n\n・さきに ★が ５コに なった プレイヤーの かち！
BalloonSplit_00	じゅんばんに モニターのなかに はいって ゲームをプレイ。\nほかの プレイヤーは モニターの そとで\nふうせんを ふくらませます。\n\nふうせんが われたときに\nモニターの なかにいる プレイヤーが まけです。
BalloonSplit_01_00	ゲームに せいこう
BalloonSplit_01_01	ゲームに しっぱい
BalloonSplit_01_02	・モニターのそとに でて\n　つぎの プレイヤーと\n　こうたい できるぞ！
BalloonSplit_01_03	・ふたたび ゲームを プレイ。\n・ゲームに せいこうするまで\n　でられない！
BalloonSplit_02_00	ふうせん ギミック
BalloonSplit_02_01	・ふうせんを ふくらませる ギミックには\n　いろいろな しゅるいが あるぞ！\n・キャラクターこゆうの アクションを つかうと\n　たくさん ふくらませることが できるぞ！
PetitParty_00	はたを たてることで\nさんかくけいを たくさんつくって、\nその めんせきの おおきさを\nきそいます。\n\nたいせんゲームで\n１ばんに なった プレイヤーが\nはたを たてられます。
PetitParty_01_00	ゲームのながれ
PetitParty_01_01	１．しようする キャラクターを えらぶ\n２．たいせんゲームを する\n３．はたを たてて さんかくけいを つくる\n\n１～３を くりかえして\nいちばん おおきな めんせきを\nつくった プレイヤーが かち！
PetitParty_02_00	たいせんゲームに ちょうせん
PetitParty_02_01	・たいせんゲームは ぜんぶで １２しゅるい。\n\n・ゲームによって トクイな キャラクターと\n　ニガテな キャラクターが いるので、\n　よく かんがえて キャラクターを えらぼう。
PetitParty_02_02	キャラクターは はたが すくないひとから\nさきに えらばせて もらえるで。
PetitParty_03_00	さんかくけいを つくる
PetitParty_03_01	・たいせんゲームに かった プレイヤーは\n　ボードに はたを たてられるぞ。\n\n・はたを ３ぼん いじょう たてると、\n　さんかくけいが できる。\n\n・ほかの プレイヤーの うえに\n　さんかくけいを つくって\n　いちばん おおきな めんせきを めざそう！
PetitScramble_00	ゲームがはいった パックを\nホッケーのように おしあって \nゴールに いれましょう。\nパックを ゴールにいれた プレイヤーが\nそのゲームを あそべます。\n\nほかの プレイヤーは\nあそんでいるプレイヤーが\nゲームに しっぱいするように\nじゃまを します。
PetitScramble_01_00	パックを ゴールに いれよう
PetitScramble_01_01	パックは さわったプレイヤーのいろに かわるぞ！\nゴールに いれると ゲームスタート！
PetitScramble_01_02	ゴール
PetitScramble_01_03	パック
PetitScramble_02_00	じゃまを しよう
PetitScramble_02_01	・ゴールを きめた プレイヤーが\n　ゲームを あそんでいるとき、\n　ほかのプレイヤーは まわりから\n　じゃまが できるぞ！\n\n・がめんを ゆらしたり ころがしたり…\n　ゲームに しっぱいするよう\n　じゃまを しよう！
PetitScramble_03_00	★を かちとろう
PetitScramble_03_01	・ゲームを あそんだ プレイヤーは \n　せいこうすると ★が もらえるけど、しっぱいすると \n　じゃまを していた プレイヤーに ★が はいるぞ！\n\n・はやく ★を あつめたプレイヤーが かち！
PetitScramble_03_02	ニガテな ゲームのパックは あえて ゴールしない\nっちゅーのも せんりゃくの ひとつやで。
CombatVirsus_00	キャラクターを そうさして ファイト！\nさいごまで いきのこった プレイヤーが かちです。\nキャラクターは とちゅうで ランダムに チェンジします。
CombatVirsus_01_00	さいごまで かちのころう
CombatVirsus_01_01	・あいてを こうげきして　\n　たいりょくを へらそう！\n\n・たいりょくが なくなった\n　キャラクターは リタイアするぞ！\n\n・じかんぎれに なったときは、\n　いちばん たいりょくが\n　のこっていた プレイヤーのかち！
CombatVirsus_02_00	おんぱで まわりのプレイヤーを\nうごけなくするぞ！
CombatVirsus_02_01	こうげきや いどうの\nスピードが あがるぞ！
CombatVirsus_02_02	シールドで ４かいまで\nこうげきを ふせぐぞ！
CombatVirsus_02_03	じぶんと おなじ うごきをする\nぶんしんを よびだすぞ！
CombatVirsus_02_04	あいてに ダメージをあたえる\nくさい モヤモヤが でるぞ！
CombatVirsus_02_05	５びょうごに ばくはつするぞ！\nあたると だいダメージ！
CombatVirsus_02_06	アイテムの こうか
CombatVirsus_03_00	ステージの ギミック
CombatVirsus_03_01	・ステージによって\n　とくちょうてきな ギミックが　\n　しかけられているぞ！\n\n・うまく りようして\n　ゆうりに たたかおう！
WC_Main	まいしゅう あたらしくなる\nおだいに そって ゲームをプレイします。\n\nいろいろな おだいに チャレンジして\nごうかな ごほうびを もらいましょう。\n\nインターネットに つなぐと\nランキングにも さんかできます。
WC_Howto_00_00	あそびかた
WC_Howto_00_01	おだいには タイムアタックと スコアアタックの\n２しゅるいの あそびかたが あるぞ。
WC_Howto_00_02	タイムアタック
WC_Howto_00_03	きまったかずの ゲームを クリアするまでの タイムを きそう。\nしっぱいすると タイムが のびてしまう！
WC_Howto_00_04	スコアアタック
WC_Howto_00_05	ひとつの ゲームを クリアするたびに スコアが はいる。\nゲームが おわったときの スコアの ごうけいを きそう。
WC_Howto_01_00	・スコアアタックで ゲームを クリアしたときの スコアは\n　こんなふうに けいさん されるぞ。
WC_Howto_01_01	・ベーススコア
WC_Howto_01_02	キャラクターの やくしょくレベルに よって きまる。
WC_Howto_01_03	・ゲームのスピード
WC_Howto_01_04	スピードが はやくなるほど スコアアップ。
WC_Howto_01_05	・ゲームのレベル
WC_Howto_01_06	レベルは ３だんかい。むずかしいほど スコアアップ。
WC_Howto_01_07	スコア ＝ ベーススコア × レベル × スピード
WC_Howto_02_00	・キャラセレクトがある おだいでは\n　キャラレートによって\n　ゲームでつかう ベーススコアが かわるぞ。
WC_Howto_02_01	キャラレートが\nちいさい キャラクターは\nその おだいが トクイ
WC_Howto_02_02	キャラレートが\nおおきい キャラクターは\nその おだいが ニガテ
WC_Howto_02_03	もとの ベーススコア
WC_Howto_02_04	×
WC_Howto_02_05	キャラレート
WC_Howto_02_06	↓
WC_Howto_02_07	ゲームでつかう ベーススコアが きまる！
WC_Howto_02_08	{key[Key|Half]}
WC_Howto_02_09	{key[Key|Half]}
WC_Howto_02_10	{key[Key|Half]}
WC_Multi_00	２キャラ どうじそうさ
WC_Multi_01	・ひとつの コントローラーで\n　２たいの キャラクターを\n　いっしょに うごかす\n　おだいも あるぞ。
WC_Ranking_00_00	{[0201|CD00]}{color[#1DFFFF00]}{/color} ランキングに さんかしよう
WC_Ranking_00_01	{[0201|CD00]}・ランキングモードを オンに すると\n　インターネットを つかって せかいじゅうの\n　ライバルとの ランキングに さんかしたり\n　フレンドランキングを みたりできるぞ。\n\n・{color[#1DFFFF00]}{/color} のマークが ついている ボタンを えらぶと\n　インターネットに つながるぞ。
WC_Ranking_00_02	{[0200|2828F100]}※ランキングモードを オンに するには\n　{[0102|0001]}Nintendo{[0000|000C30CB30F330C630F330C930FC]} {[0102|0001]}Switch{[0000|000830B930A430C330C1]} {[0102|0001]}Online{[0000|000A30AA30F330E930A430F3]} への かにゅうが ひつようです。
WC_Ranking_01_00	{[0201|CD00]}{color[#1DFFFF00]}{/color} ランキングの きかん
WC_Ranking_01_01	・ランキングに さんかできる\n　「チャレンジ きかん」は \n　いっしゅうかん。\n\n・チャレンジきかんちゅうに \n　きろくを とうろくしておこう。
