CoinRushCourseIn\CoinRushCourseIn_00\CoinRushCourseIn_00.msbt
T_Mii_00_PID01	正在挑戰自己的紀錄！
T_Mii_00_PID02	正在挑戰此紀錄！
T_Msg_00_PID00	\x0e\x01\t\x02\0\n
CoinRushCourseInTop\CoinRushCourseInTop_00\CoinRushCourseInTop_00.msbt
T_CInWorld_00_PID00	WORLD \x0e\x07\0\0-\x0e\x07\x01\0
T_CInWorld_00_PID01	關卡 1
T_CInWorld_00_PID02	關卡 2
T_CInWorld_00_PID03	關卡 3
T_DLC_00_PID00	\x0e\x01\x0c\x02\0@
T_DLC_00_PID01	等級１關卡包
T_DLC_00_PID02	等級２關卡包
T_DLC_00_PID03	等級３關卡包
CoinRushMiiList\CoinRushMiiList_00\CoinRushMiiList_00.msbt
T_StartMii_00	以瑪利歐挑戰
T_StartMii_01	以白尾瑪利歐挑戰
T_StartMy_00	挑戰自己的紀錄
T_MyData_00	自己的紀錄
T_BookMark_00	我的最愛
T_MiiChange_00	更改Mii
T_Change_00_PID00	更改Mii
CoinRushMiiListTop\CoinRushABtnTop_00\CoinRushABtnTop_00.msbt
T_Challenge_00_PID00	挑戰
T_Challenge_00_PID01	開啟
CoinRushMiiListTop\CoinRushMiiListMiiInfoTop_00\CoinRushMiiListMiiInfoTop_00.msbt
T_MiiName_00_PID00	\x0e\x01\t\x02\0\n
T_MiiCourse_00_PID00	\x0e\x01\x0c\x02\0@
T_MiiCourse_00_PID01	等級１關卡包
T_MiiCourse_00_PID02	等級２關卡包
T_MiiCourse_00_PID03	等級３關卡包
T_MiiCourse_00_PID04	未持有的新增關卡包
T_MiiName_01	-----
T_BtnIcon_00	!
T_Caption_00	挑戰瞬間交錯資料
T_MyBest_00	個人最佳紀錄
T_Message_00_PID00	無瞬間交錯資料
T_Message_00_PID01	返回前一畫面
CoinRushMiiListTop\CoinRushMiiListMyInfoTop_00\CoinRushMiiListMyInfoTop_00.msbt
T_Index_00_PID00	自己的紀錄
T_Index_00_PID01	自己的紀錄
T_MyName_00_PID00	\x0e\x01\t\x02\0\n
T_NoCoin_00	;----
T_MyCourse_00_PID00	\x0e\x01\x0c\x02\0@
T_MyCourse_00_PID01	等級１關卡包
T_MyCourse_00_PID02	等級２關卡包
T_MyCourse_00_PID03	等級３關卡包
T_MyCourse_00_PID04	未持有的新增關卡包
T_MyCourse_00_PID05	ーーーーー
T_TortalInfo_00	瞬間交錯次數
T_WinInfo_00	勝利次數
T_HatenaName_00	？？？？？
CoinRushResultTop\CoinRushResultClear1PTop_00\CoinRushResultClear1PTop_00.msbt
T_CRText_00	遊戲過關！
T_Text_00	;
CoinRushResultTop\CoinRushResultClearMiiTop_00\CoinRushResultClearMiiTop_00.msbt
T_CRText_00	遊戲過關！
T_Win_00	得到勝利金幣！
T_WinlCoin_00	1000
T_MiiText_00	;
T_MyText_00	;
CoinRushResultTop\CoinRushResultfailureTop_00\CoinRushResultfailureTop_00.msbt
T_Failure_00	失敗！
CommonWindowA\CommonWindowA_00\CommonWindowA_00.msbt
T_Menu_02_PID00	繼續遊戲
T_Menu_03_PID00	中斷
T_Menu_03_PID01	儲存
T_Menu_03_PID02	退出關卡
T_Menu_03_PID03	從頭再玩
T_Menu_03_PID04	返回標題畫面
T_Menu_03_PID05	退出遊戲
T_Menu_03_PID06	退出關卡
T_Menu_04_PID00	返回標題畫面
T_Menu_04_PID01	退出挑戰
T_Message4_00_PID01	要儲存嗎？
T_Message4_00_PID02	儲存完畢。
T_Message4_00_PID03	要「中斷」遊戲，\n返回標題畫面嗎？\n\n只有一次機會可以\n　從這裡繼續玩。
T_Message4_00_PID04	儲存完畢。\n\n即將返回標題畫面。
T_Message4_00_PID05	即將返回標題畫面，\n確定可以嗎？\n\n未儲存的遊戲資料將會遺失。
T_Message4_00_PID06	即將返回地圖畫面，\n確定可以嗎？\n\n如果退出關卡，\n就會回到進入關卡前的狀態。
T_Message4_00_PID07	即將退出通訊，\n返回標題畫面。\n確定可以嗎？\n\n未儲存的遊戲資料將會遺失。
T_Message4_00_PID08	即將退出挑戰。\n\n這次收集的金幣將會消失，\n確定可以嗎？
T_Message4_00_PID09	即將從頭再玩相同關卡。\n\n這次收集的金幣將會消失，\n確定可以嗎？
T_Message4_00_PID10	用{c[ff0000]}5枚星星金幣{c[000000]}\n就可以向前進。\n要前進嗎？
T_Message4_00_PID11	{c[ff0000]}星星金幣{c[000000]}不夠！\n要向前進，\n需要{c[ff0000]}5枚{c[000000]}{c[ff0000]}星星金幣{c[000000]}。
T_Message4_00_PID16	用{c[ff0000]}90枚星星金幣{c[000000]}\n就可以向前進。\n要前進嗎？
T_Message4_00_PID17	{c[ff0000]}星星金幣{c[000000]}不夠！\n要向前進，\n需要{c[ff0000]}90枚{c[000000]}{c[ff0000]}星星金幣{c[000000]}。
T_Message4_00_PID18	用{c[ff0000]}9枚星星金幣{c[000000]}\n就可以向前進。\n要前進嗎？
T_Message4_00_PID19	{c[ff0000]}星星金幣{c[000000]}不夠！\n要向前進，\n需要{c[ff0000]}9枚{c[000000]}{c[ff0000]}星星金幣{c[000000]}。
T_Message4_00_PID20	瑪利歐他們的冒險到此結束。\n\n即將退出通訊，\n返回標題畫面。
T_Message4_00_PID21	儲存完畢。\n即將返回標題畫面。\n\n在地圖畫面的暫停選單裡，\n可以隨時按「儲存」來儲存。
T_Message4_00_PID12	即將返回選單。\n確定可以嗎？\n\n如果退出關卡，\n就會回到進入關卡前的狀態。
T_Message4_00_PID80	儲存中……
T_Message4_00_PID81	瑪利歐正在操作中……
T_BtnB_00_PID00	取消
T_BtnB_00_PID01	否
T_BtnA_00_PID00	中斷
T_BtnA_00_PID01	OK
T_BtnA_00_PID02	儲存
T_BtnA_00_PID03	是
CommonWindowA\CommonWindowA_00\CommonWindowA_00_coinrush.msbt
T_Menu_02_PID00	儲存紀錄
T_Menu_02_PID01	重玩相同關卡
T_Menu_02_PID02	再挑戰一次
T_Menu_02_PID03	重玩
T_Menu_03_PID00	重玩相同關卡
T_Menu_03_PID01	返回關卡包選擇畫面
T_Menu_03_PID02	再挑戰一次
T_Menu_03_PID03	返回Mii清單
T_Menu_03_PID04	重玩
T_Menu_04_PID00	返回關卡包選擇畫面
T_Menu_04_PID01	返回標題畫面
T_Menu_04_PID02	返回Mii清單
T_Menu_05_PID00	返回標題畫面
T_Message4_00_PID00	已設為「我的最愛」！\n「我的最愛」的紀錄\n不會從清單上消失。\n\n無法挑戰的紀錄\n　不能設為「我的最愛」。
T_Message4_00_PID01	即將退出金幣衝衝衝，\n返回標題畫面。\n\n確定可以嗎？
T_Message4_00_PID02	內含未過關的世界，\n因此無法進行挑戰。
T_Message4_00_PID03	尚未持有所需的新增關卡包，\n因此無法進行挑戰。
T_Message4_00_PID05	儲存完畢。
T_Message4_00_PID10	要在主機上登錄{c[009000]}瞬間交錯通訊{c[000000]}嗎？\n\n即使結束遊戲，\n也會自動進行{c[009000]}瞬間交錯通訊{c[000000]}。
T_Message4_00_PID11	因為沒有可以使用的Mii，\n將以替代的Mii開始遊戲。\n新的Mii可以在Mii工作室製作。
T_Message4_00_PID12	已在主機上登錄{c[009000]}瞬間交錯通訊{c[000000]}。
T_Message4_00_PID13	在「家長或監護人設定的使用限制」中\n已限制使用{c[009000]}瞬間交錯通訊{c[000000]}。\n請確認主機設定。
T_Message4_00_PID14	要開啟{c[009000]}瞬間交錯通訊{c[000000]}，\n必須同意使用協議。\n請確認主機設定。
T_Message4_00_PID15	無法再登錄更多的\n{c[009000]}瞬間交錯通訊{c[000000]}。\n請在主機設定的\n「瞬間交錯通訊管理」中，\n退出其他軟體的\n{c[009000]}瞬間交錯通訊{c[000000]}。
T_Message4_00_PID16	沒有登錄{c[009000]}瞬間交錯通訊{c[000000]}。\n\n{c[009000]}瞬間交錯通訊{c[000000]}可以隨時在\n金幣衝衝衝中進行登錄。
T_Message4_00_PID17	～{c[009000]}瞬間交錯通訊{c[000000]}～\n可以交換金幣衝衝衝的紀錄。\n\n已登錄的Mii和暱稱\n將公開給通訊對象。
T_Message4_00_PID18	～{c[6b4b1b]}金幣衝衝衝{c[000000]}～\n\n玩3個關卡，\n收集大量金幣的模式。
T_Message4_00_PID20	未插入SD卡。\n\n即將返回金幣衝衝衝選單。
T_Message4_00_PID21	無法辨識SD卡。\n\n即將返回金幣衝衝衝選單。
T_Message4_00_PID22	SD卡已設定為防寫保護。\n\n即將返回金幣衝衝衝選單。
T_Message4_00_PID23	無法辨識新增關卡包。\n請在Shop中確認。\n\n即將返回金幣衝衝衝選單。
T_Message4_00_PID80	請稍候。\n\n請不要碰觸電源鍵。
T_Message4_00_PID81	儲存中……
T_Message4_00_PID82	請稍候。\n\n請不要碰觸SD卡\n或電源鍵。
T_Message4_00_PID98	New 超級瑪利歐兄弟 2
T_Message4_00_PID99	已接收到金幣衝衝衝的紀錄。
T_BtnB_00_PID00	取消
T_BtnA_00_PID00	OK
CommonWindowA\CommonWindowA_00\CommonWindowA_00_error.msbt
T_Message4_00_PID00	請滑動主機的無線開關，\n{c[ff0000]}開啟{c[000000]}無線通訊功能。
T_Message4_00_PID01	發生通訊錯誤，\n即將返回標題畫面。
T_Message4_00_PID02	通訊已被切斷，\n即將返回標題畫面。
T_BtnA_00_PID00	OK
CommonWindowA\CommonWindowA_00\CommonWindowA_00_multi.msbt
T_Menu_02_PID00	\x0e\x01\t\x02\0\n瑪利歐
T_Menu_03_PID00	\x0e\x01\t\x02\0\n瑪利歐
T_Menu_04_PID00	\x0e\x01\t\x02\0\n瑪利歐
T_Message4_00_PID00	請稍候。\n\n請不要碰觸SD卡\n或電源鍵。
T_Message4_00_PID01	正在尋找瑪利歐……\n按\x0e\x08\x01\x02"\0即可返回。\n\n如果在通訊中合上主機，\n通訊將被切斷。
T_Message4_00_PID02	正在尋找路易吉……\n按\x0e\x08\x01\x02"\0即可返回。\n\n如果在通訊中合上主機，\n通訊將被切斷。
T_Message4_00_PID03	\x0e\x01\t\x02\0\n路易吉來玩了！
T_Message4_00_PID04	即將退出通訊，\n返回標題畫面。\n\n確定可以嗎？
T_Message4_00_PID05	正在等待遊戲開始……
T_Message4_00_PID08	請稍候。\n\n請不要碰觸電源鍵。
T_Message4_00_PID09	請稍候。\n\n請不要碰觸電源鍵。\n\n按\x0e\x08\x01\x02"\0即可返回。
T_MessageC_00_PID01	\x0e\x01\t\x02\0\n瑪利歐不見了。
T_MessageC_00_PID02	\x0e\x01\t\x02\0\n路易吉不見了。
T_BtnB_00_PID00	取消
T_BtnB_00_PID01	開始遊戲
T_BtnA_00_PID00	OK
CommonWindowA\CommonWindowA_00\CommonWindowA_00_shop.msbt
T_Message4_00_PID01	Shop中可以購買能在\n金幣衝衝衝玩的新增關卡包。
T_Message4_00_PID02	請從目錄中選擇\n想購買的新增關卡包。
T_Message4_00_PID03	已購買的新增關卡包\n會新增到金幣衝衝衝，\n隨時都可以玩。
T_Message4_00_PID10	使用Shop前必須同意使用協議。\n請確認主機設定。
T_Message4_00_PID11	即將退出通訊，結束Shop。\n\n確定可以嗎？
T_Message4_00_PID12	即將返回標題畫面。
T_Message4_00_PID13	要將這個新增關卡包\n從SD卡上刪除嗎？\n已刪除的新增關卡包\n可以在Shop再次接收。
T_Message4_00_PID14	刪除完畢。
T_Message4_00_PID15	無法確認新增關卡包。\n\n即將返回金幣衝衝衝選單。
T_Message4_00_PID16	目前無法在您所居住的地區使用。\n造成您的不便，敬請見諒。
T_Message4_00_PID17	所選擇的商品內含\n已購買的新增關卡包。\n\n重複部分的金額無法折抵\n或退款，可以嗎？
T_Message4_00_PID18	Shop正在維護中。\n\n請隔一段時間後再試。
T_Message4_00_PID20	～{c[0040ff]}選擇新增關卡包{c[000000]}～\n點觸箭頭圖示\n　即捲動目錄。\n～{c[6b4b1b]}購買新增關卡包{c[000000]}～\n按「購買」\n　即進入購買流程。
T_Message4_00_PID21	～{c[ff0000]}刪除新增關卡包{c[000000]}～\n按「刪除」\n即從SD卡上刪除新增關卡包。\n～{c[009000]}再次接收{c[000000]}{c[009000]}新增關卡包{c[000000]}～\n按「再次接收」\n即進入再次接收流程。
T_Message4_00_PID30	已購買的新增關卡包\n可以在金幣衝衝衝的\n「單人挑戰」裡玩了！
T_Message4_00_PID80	請稍候。\n\n請不要碰觸SD卡\n或電源鍵。
T_BtnB_00_PID00	取消
T_BtnA_00_PID00	OK
T_BtnA_00_PID01	下一步
CommonWindowA\CommonWindowA_00\CommonWindowA_00_system.msbt
T_Message4_00_PID01	要刪除『New 超級瑪利歐兄弟 2』的\n所有儲存資料嗎？
T_Message4_00_PID02	包含{c[009000]}瞬間交錯通訊{c[000000]}和\n{c[0040ff]}悄悄通訊{c[000000]}的登錄在內， \n所有的儲存資料都將遺失。\n\n確定可以嗎？
T_Message4_00_PID03	儲存資料已損壞，\n即將刪除所有儲存資料。
T_Message4_00_PID05	所有儲存資料已刪除完畢。
T_Message4_00_PID10	歡迎來到\n『New 超級瑪利歐兄弟 2』
