another_name.txt
msg_another_name_00	卡洛斯冠軍[VAR 0102(0000)]
msg_another_name_01	冠軍[VAR 0102(0000)]
msg_another_name_02	神奧冠軍[VAR 0102(0000)]
msg_another_name_03	摯友[VAR 0102(0000)]
msg_another_name_04	一起接受過試煉的[VAR 0102(0000)]
msg_another_name_05	經驗老到的[VAR 0102(0000)]
msg_another_name_06	高手[VAR 0102(0000)]
msg_another_name_07	那時很努力的[VAR 0102(0000)]
msg_another_name_08	那天精神抖擻的[VAR 0102(0000)]
msg_another_name_09	以前是膽小鬼的[VAR 0102(0000)]
msg_another_name_10	有著傷心過去的[VAR 0102(0000)]
msg_another_name_11	也曾犯錯的[VAR 0102(0000)]
msg_another_name_12	那天神清氣爽的[VAR 0102(0000)]
msg_another_name_13	總是在睡覺的[VAR 0102(0000)]
msg_another_name_14	笑口常開的[VAR 0102(0000)]
msg_another_name_15	豪華[VAR 0102(0000)]
msg_another_name_16	高貴[VAR 0102(0000)]
msg_another_name_17	豪華＆高貴[VAR 0102(0000)]
msg_another_name_18	成為繪畫模特兒的[VAR 0102(0000)]
msg_another_name_19	以自己的腳印為傲的[VAR 0102(0000)]
msg_another_name_20	保持紀錄的[VAR 0102(0000)]
msg_another_name_21	保持厲害紀錄的[VAR 0102(0000)]
msg_another_name_22	優勝者[VAR 0102(0000)]
msg_another_name_23	克服了困難的[VAR 0102(0000)]
msg_another_name_24	１００連勝的[VAR 0102(0000)]
msg_another_name_25	稱霸世界的[VAR 0102(0000)]
msg_another_name_26	喜歡寶可夢的[VAR 0102(0000)]
msg_another_name_27	度過了紀念日的[VAR 0102(0000)]
msg_another_name_28	參加了活動的[VAR 0102(0000)]
msg_another_name_29	總是在一起的[VAR 0102(0000)]
msg_another_name_30	特別日子裡的[VAR 0102(0000)]
msg_another_name_31	精彩回憶裡的[VAR 0102(0000)]
msg_another_name_32	夢想成真的[VAR 0102(0000)]
msg_another_name_33	對戰冠軍[VAR 0102(0000)]
msg_another_name_34	地區冠軍[VAR 0102(0000)]
msg_another_name_35	國家冠軍[VAR 0102(0000)]
msg_another_name_36	世界冠軍[VAR 0102(0000)]
msg_another_name_37	輝煌回憶裡的[VAR 0102(0000)]
msg_another_name_38	熱血回憶裡的[VAR 0102(0000)]
msg_another_name_39	豐緣冠軍[VAR 0102(0000)]
msg_another_name_40	傳奇明星[VAR 0102(0000)]
msg_another_name_41	曾是明星的[VAR 0102(0000)]
msg_another_name_42	當時美麗動人的[VAR 0102(0000)]
msg_another_name_43	曾是偶像的[VAR 0102(0000)]
msg_another_name_44	被稱作天才的[VAR 0102(0000)]
msg_another_name_45	曾經渾身肌肉的[VAR 0102(0000)]
msg_another_name_46	阿羅拉冠軍[VAR 0102(0000)]
msg_another_name_47	皇家大師[VAR 0102(0000)]
msg_another_name_48	對戰樹贏家[VAR 0102(0000)]
msg_another_name_49	對戰樹大師[VAR 0102(0000)]
msg_another_name_50	伽勒爾冠軍[VAR 0102(0000)]
msg_another_name_51	對戰塔大師[VAR 0102(0000)]
msg_another_name_52	級別對戰大師[VAR 0102(0000)]
msg_another_name_53	肚子餓扁了的[VAR 0102(0000)]
msg_another_name_54	想睡覺的[VAR 0102(0000)]
msg_another_name_55	開始犯睏的[VAR 0102(0000)]
msg_another_name_56	很早就醒來的[VAR 0102(0000)]
msg_another_name_57	盯著雲看的[VAR 0102(0000)]
msg_another_name_58	在雨中哽咽的[VAR 0102(0000)]
msg_another_name_59	對打雷大呼小叫的[VAR 0102(0000)]
msg_another_name_60	在雪裡打滾的[VAR 0102(0000)]
msg_another_name_61	凍得發抖的[VAR 0102(0000)]
msg_another_name_62	喉嚨乾渴的[VAR 0102(0000)]
msg_another_name_63	滿身沙子的[VAR 0102(0000)]
