MESS_ARCHIVE_Sortie


Message Name: Message


MID_SORTIE_タイトル: 进击准备
MID_SORTIE_ユニット選択: 选择单位
MID_H_SORTIE_ユニット選択: 选择出击的单位
MID_SORTIE_マップ・配置: 地图与配置
MID_H_SORTIE_マップ・配置: 确认地图，更改出击单位的配置
MID_SORTIE_持ち物整理: 整备行装
MID_H_SORTIE_持ち物整理: 整理单位持有的道具
MID_SORTIE_スキル着脱: 更换技能
MID_H_SORTIE_スキル着脱: 可以更换单位的技能
MID_SORTIE_支援会話: 支援对话
MID_H_SORTIE_支援会話: 与单位交谈，加深情谊
MID_SORTIE_記録: 保存
MID_H_SORTIE_記録: 保存现在的游戏情况
MID_SORTIE_戻る: 返回
MID_SORTIE_戻る_通信対戦: 返回
MID_H_SORTIE_戻る: 返回前一画面
MID_H_SORTIE_戻る_通信対戦: 重新选择档案
MID_SORTIE_戻る確認: 要返回吗？
MID_SORTIE_編成終了: 开始战斗
MID_H_SORTIE_編成終了: 结束编组，开始战斗
MID_SORTIE_編成終了確認: 要开始战斗了吗？
MID_SORTIE_編成終了_防衛配置: 确定
MID_SORTIE_編成終了_通信対戦: 确定
MID_H_SORTIE_編成終了_通信対戦: 确定完成编组
MID_SORTIE_編成終了確認_通信対戦: 是否确定？
MID_SORTIE_探索準備: 准备探索
MID_SORTIE_編成終了_ダンジョン: 开始探索
MID_H_SORTIE_編成終了_ダンジョン: 结束编组，开始探索
MID_SORTIE_編成終了確認_ダンジョン: 要开始探索了吗？
MID_SORTIE_ならびかえ: 更改排序
MID_H_SORTIE_ならびかえ: 更改战斗时的排序
MID_SORTIE_離脱: 脱离
MID_H_SORTIE_離脱: 让单位脱离迷宫
MID_SORTIE_離脱_確認_主人公: 全员都脱离迷宫吗？
MID_SORTIE_離脱_確認: $a要让$a0脱离迷宫吗？
MID_SORTIE_離脱_結果: $a$a0脱离了。
MID_SORTIE_ミラの歯車: 米拉齿轮
MID_H_SORTIE_ミラの歯車: 启动米拉齿轮
MID_SORTIE_通信: 通信
MID_H_SORTIE_通信: 使用通信功能
MID_SORTIE_交代: 交替
MID_H_SORTIE_交代: 交替成阿鲁姆或赛莉卡
MID_SORTIE_待機: 待命
MID_H_SORTIE_待機: 换为敌军行动
MID_SORTIE_入る: 进入
MID_H_SORTIE_入る: 进入目前所在的地方
MID_SORTIE_入る確認: 要进入这个地方吗？
MID_SORTIE_一括整理: 自动
MID_SORTIE_一括整理_おまかせ整理: 自动整理
MID_H_SORTIE_一括整理_おまかせ整理: 自动整理出击单位的持有物
MID_SORTIE_一括整理_おまかせ整理確認: 要自动整理在这张地图上\n出击的单位的持有物吗？\n（没有出击的单位的持有物，\n会全部装入行囊）
MID_SORTIE_一括整理_おまかせ整理確認2: 要自动整理所有\n单位的持有物吗？
MID_SORTIE_一括整理_おまかせ整理警告: 行囊中的持有物不足，\n无法让所有单位\n分配到持有物。
MID_SORTIE_一括整理_おまかせ整理警告2: 行囊已经装满了，\n无法整理持有物。
MID_SORTIE_一括整理_全預け: 全部保管
MID_H_SORTIE_一括整理_全預け: 把所有单位的持有物都装进行囊
MID_SORTIE_一括整理_全預け確認: 要把所有单位的持有物\n都装进行囊吗？
MID_SORTIE_一括整理_全預け警告: 行囊已经装满了，\n无法将所有单位的\n持有物装进行囊。
MID_H_SORTIE_出撃人数: $a还可以选择$a0人成为出击单位
MID_B_SORTIE_部隊表: 部队表
MID_B_SORTIE_一覧: 一览
MID_B_SORTIE_おまかせ: 自动
MID_B_SORTIE_切り替え: 切换
MID_B_SORTIE_ユニット変更: 换人
MID_SORTIE_持ち物整理_持ち物: 行囊
MID_H_SORTIE_持ち物整理_持ち物: 整理此单位的持有物
MID_SORTIE_持ち物整理_交換: 交换
MID_H_SORTIE_持ち物整理_交換: 将此单位的持有物与其他单位交换
MID_SORTIE_持ち物整理_預ける警告: 行囊已经装满了，\n无法保管持有物。
MID_SORTIE_持ち物整理_交換警告: 行囊已经装满了，\n无法交换持有物。
MID_H_SORTIE_持ち物整理_交換相手選択: 请选择要交换持有物的对象
MID_SORTIE_持ち物整理_おまかせ整理: 自动
MID_H_SORTIE_持ち物整理_おまかせ整理: 自动整理此单位的持有物
MID_SORTIE_持ち物整理_おまかせ整理警告: 行囊中的持有物不足，\n无法分配持有物给单位。
MID_SORTIE_持ち物整理_おまかせ整理警告2: 行囊已经装满了，\n无法替换持有物。
MID_SORTIE_持ち物整理_おまかせ整理警告3: 行囊里找不到更合适的持有物\n来更换现在的持有物。
MID_SORTIE_持ち物整理_全預け: 全部保管
MID_H_SORTIE_持ち物整理_全預け: 将此单位的持有物装进行囊
MID_SORTIE_持ち物整理_全預け警告: 行囊已经装满了，\n无法将所有持有物\n装进行囊。
MID_SORTIE_持ち物整理_預ける: 保管
MID_H_SORTIE_持ち物整理_預ける: 将此单位的持有物装进行囊
MID_SORTIE_持ち物整理_受け取る: 收下
MID_SORTIE_持ち物整理_統合: 整合
MID_SORTIE_持ち物整理_装備: 装备
MID_SORTIE_持ち物整理_外す: 卸下
MID_SORTIE_持ち物整理_並べ替え: 更改排序
MID_SORTIE_持ち物整理_使う: 使用
MID_SORTIE_持ち物整理_使う警告: 行囊已经装满了，\n无法使用持有物。
MID_SORTIE_持ち物整理_捨てる: 丢弃
MID_SORTIE_持ち物整理_無し: 无任何持有物
MID_SORTIE_持ち物整理_輸送隊: 行囊
MID_SORTIE_持ち物整理_在庫: 库存
MID_RELIANCE_会話相手選択: 请选择对象
MID_RELIANCE_名前不明: ？？？？？？
