MESS_ARCHIVE_Fld_拠点_ギースの砦_玄関


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa好古老的堡垒……$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa既然位于海边，\n应该是为了抵御海盗而建造的吧。$k
MID_ADV調べる_clash_parts_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa墙壁受损出现崩塌。$k
MID_ADV調べる_clash_wall_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa墙壁受损出现崩塌。$k
MID_ADV調べる_waterjug_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa是水瓶。\n不知道是从哪里汲水回来？$k
MID_ADV調べる_weapon_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa这些是堡垒主人所用的武器吗？\n杂乱地丢在地上。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa好古老的堡垒呢。\n根据记录，似乎建造于两百年前。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa因为沙漠温差大，\n所以导致建筑物损坏得快吗？$k
MID_ADV調べる_clash_parts_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa墙壁受损崩塌了呢。$k
MID_ADV調べる_clash_wall_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa墙壁受损崩塌了呢。$k
MID_ADV調べる_waterjug_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是水瓶呢。\n在沙漠中确保饮水是最重要的一件事。$k
MID_ADV調べる_weapon_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa武器杂乱地散落一地呢。$k
MID_ADV_調べるエリア_clash_parts: 崩塌的墙壁
MID_ADV_調べるエリア_clash_wall: 崩塌的墙壁
MID_ADV_調べるエリア_waterjug: 水瓶
MID_ADV_調べるエリア_weapon: 武器
