MESS_ARCHIVE_Backup


Message Name: Message


MID_BACKUP_NOT_FOUND: 存取保存数据失败。\n请关闭电源再重新插入卡片。
MID_BACKUP_NOT_FORMATTED: 进行开始游戏的准备。
MID_BACKUP_VERIFICATION_FAILED: 检测到毁损的储存资料。\n将删除毁损的储存资料。
MID_BACKUP_NOT_ENOUGH_SPACE: 保存数据的剩余容量不足。
MID_BACKUP_FORMAT: 正在进行开始游戏的准备。\n请勿关闭电源，\n或取出卡片。
MID_BACKUP_VERIFICATION_FAILED_FILE: 正在删除保存数据。\n请勿关闭电源，\n或取出卡片。
MID_BACKUP_FORMAT_COMPLETE: 开始游戏的准备已结束。
MID_BACKUP_EXT_MEDIA_NOT_FOUND: 无法识别ＳＤ卡。
MID_BACKUP_EXT_OPERATION_DENIED: ＳＤ卡处理失败。\n请关闭电源再重新插入ＳＤ卡。
MID_BACKUP_EXT_VERIFICATION_FAILED: 检测到毁损的储存资料。\n将删除毁损的储存资料。
MID_BACKUP_EXT_VERIFICATION_FAILED2: 检测到毁损的储存资料。\n将重建毁损的储存资料。
MID_BACKUP_EXT_NOT_ENOUGH_SPACE: ＳＤ卡剩余容量不足。
MID_BACKUP_EXT_WRITE_PROTECT: ＳＤ卡已开启写保护。\n请先关闭电源\n及ＳＤ卡的写保护开关，\n再重新插入ＳＤ卡。
