MESS_ARCHIVE_MainMenu


Message Name: Message


MID_メインメニュー_中断から: 从中断处开始
MID_メインメニュー_中断から_説明: 从上次中断游戏处\n开始游戏
MID_メインメニュー_続きから: 继续开始
MID_メインメニュー_続きから_説明: 继续开始\n游戏
MID_メインメニュー_最初から: 重新开始
MID_メインメニュー_最初から_説明: 从头开始\n新游戏
MID_メインメニュー_複製: 复制数据
MID_メインメニュー_複製_説明: 执行保存数据的\n复制
MID_メインメニュー_削除: 删除数据
MID_メインメニュー_削除_説明: 执行保存数据的\n删除
MID_メインメニュー_記録: 记录
MID_メインメニュー_エクストラ: 特别项目
MID_メインメニュー_エクストラ_説明: 进行\n其他设定
MID_メインメニュー_サウンドテスト: 欣赏音乐
MID_メインメニュー_サウンドテスト_説明: 可以聆听\n音乐
MID_メインメニュー_ムービー回想: 影片回顾
MID_メインメニュー_ムービー回想_説明: 可以观赏\n影片
MID_メインメニュー_DLC: 追加内容
MID_メインメニュー_DLC_説明: 管理\n追加内容
MID_メインメニュー_いつの間に通信設定: 悄然连接
MID_メインメニュー_いつの間に通信設定_説明: 开启或关闭\n悄然连接
MID_メインメニュー_言語設定: 语言设定
MID_メインメニュー_言語設定_説明: 选择\n想使用的语言
MID_メインメニュー_字幕表示: 字幕显示
MID_メインメニュー_字幕表示_説明: 开启/关闭\n字幕显示
MID_メインメニュー_全データ削除: 删除所有数据
MID_メインメニュー_全データ削除_説明: 将所有数据\n删除
MID_メインメニュー_ノーマル_説明: 适合新手玩家和中阶玩家
MID_メインメニュー_ハード_説明: 适合高阶玩家
MID_メインメニュー_ルナティック_説明: 适合追求\n最高难度的玩家
MID_メインメニュー_カジュアル_説明: 战斗结束后，阵亡的伙伴\n将复活的简单模式
MID_メインメニュー_クラシック_説明: 阵亡的伙伴不会再回来，\n需要三思的模式
MID_メインメニュー_全データ削除_確認: 所有数据将会消失，\n是否确认删除？
MID_メインメニュー_全データ削除_再確認: 真的\n所有数据将会消失，\n是否确认删除？
MID_メインメニュー_全データ削除_終了: 已删除所有数据
MID_メインメニュー_言語設定_日本語: 日文
MID_メインメニュー_言語設定_繁体字: 繁体中文
MID_メインメニュー_言語設定_簡体字: 简体中文
MID_メインメニュー_言語設定_英語: 英文
MID_メインメニュー_言語設定_スペイン語: 西班牙文
MID_メインメニュー_言語設定_フランス語: 法文
MID_メインメニュー_言語設定_イタリア語: 义大利文
MID_メインメニュー_言語設定_ドイツ語: 德文
MID_メインメニュー_言語設定_オランダ語: 荷兰文
MID_メインメニュー_言語設定_下帯説明: 请选择想设定的语言
MID_メインメニュー_言語設定_確認: 设定语言后将回到标题画面\n是否继续？
MID_メインメニュー_字幕表示_オン_確認: 已关闭字幕显示。\n要开启字幕显示吗？
MID_メインメニュー_字幕表示_オフ_確認: 已开启字幕显示。\n要关闭字幕显示吗？
MID_ファイルメニュー_データ無し: No Data
MID_ファイルメニュー_データ破損: 数据已损毁
MID_ファイルメニュー_ターン: 回合数
MID_ファイルメニュー_記録確認: 要保存数据吗？
MID_ファイルメニュー_複製確認: 要复制数据吗？
MID_ファイルメニュー_削除確認: 真的可以删除数据吗？
MID_ファイルメニュー_中断削除確認: 中断数据将会消失，\n是否确认？
MID_ファイルメニュー_記録無し確認_次へ: 不保存数据就\n前进吗？
MID_ファイルメニュー_記録無し確認_メインメニューへ: 不保存数据就\n返回主菜单吗？
MID_ファイルメニュー_記録無し確認_ゲームクリア: 即将返回标题画面，\n之后无法保存游戏过关的数据。\n不保存就结束吗？
