MESS_ARCHIVE_JobIntro


Message Name: Message


MID_兵種紹介_使用武器_1種: $a武器：$a0
MID_兵種紹介_使用武器_2種: $a武器：$a0、$a1
MID_兵種紹介_キャッチコピー_村人男: 无限的可能性
MID_兵種紹介_キャッチコピー_ソルジャー男: 负责前线的枪步兵
MID_兵種紹介_キャッチコピー_ナイト男: 机动性优异的骑兵
MID_兵種紹介_キャッチコピー_ペガサスナイト女: 翱翔天空的纯白骑士
MID_兵種紹介_キャッチコピー_アーチャー男: 来自射程外的一击
MID_兵種紹介_キャッチコピー_パラディン女: 荣誉感强的圣骑士
MID_兵種紹介_キャッチコピー_ボウナイト男: 有威胁性的弓骑兵
MID_兵種紹介_キャッチコピー_魔戦士男: 异形之影
MID_兵種紹介_キャッチコピー_聖女: 神圣的少女
MID_兵種紹介_キャッチコピー_ゴールドナイト男: 高洁骑士的顶点
MID_兵種紹介_キャッチコピー_戦士男: 勇敢的旗帜
MID_兵種紹介_キャッチコピー_魔道士女: 魔道的专家
MID_兵種紹介_キャッチコピー_魔道士男: 魔道的专家
MID_兵種紹介_キャッチコピー_シスター女: 拘谨的修女
MID_兵種紹介_キャッチコピー_傭兵男: 战斗的专家
MID_兵種紹介_キャッチコピー_アーマー男: 值得依靠的军团之盾
MID_兵種紹介_キャッチコピー_スナイパー男: 射穿敌人的远距离射击
MID_兵種紹介_キャッチコピー_剣士男: 千锤百炼的必杀剑
MID_兵種紹介_キャッチコピー_バロン男: 铜墙铁壁的移动要塞
MID_兵種紹介_キャッチコピー_ファルコンナイト女: 受神祝福的圣洁羽翼
MID_兵種紹介_キャッチコピー_賢者男: 极其睿智的存在
MID_兵種紹介_キャッチコピー_神官セ: 美丽的魔法剑客
MID_兵種紹介_説明_村人男: 拿起武器的\n平凡村民。\n战斗能力虽低，\n却蕴藏了可以\n转职为各种\n职业的极大\n可能性。
MID_兵種紹介_説明_ソルジャー男: 持枪战斗的\n最基础的步兵。\n攻击力和防守力\n比较优秀一些，\n也没有特别\n明显的弱点。
MID_兵種紹介_説明_ナイト男: 骑着军马，\n凭借高机动性在\n战场奔驰的骑士。\n在落脚地\n不稳的地方，\n移动力会大幅下降。
MID_兵種紹介_説明_ペガサスナイト女: 骑着飞马的骑士。\n特征是可以飞越\n各种障碍物\n而移动。\n因为飞在空中，\n所以无法受惠于\n地形效果。
MID_兵種紹介_説明_アーチャー男: 会使用弓的\n士兵。\n可以从敌人\n无法反击的\n远处\n射箭攻击。
MID_兵種紹介_説明_パラディン女: 声望很高的\n高阶骑士。\n战斗能力和机动性\n都受到磨练，\n可以随机应变，\n应对所有战况。
MID_兵種紹介_説明_ボウナイト男: 持弓作战的骑兵。\n不仅射程极长，\n机动性也很高，\n在战场上\n是非常可靠的\n存在。
MID_兵種紹介_説明_魔戦士男: 似乎有些异国气质\n的神秘剑客。\n不仅具有优秀的\n体能，\n对魔法也有\n非常高的抗性。
MID_兵種紹介_説明_聖女: 侍奉神明的\n纯洁少女。\n战斗能力虽然\n不是很强，\n但会利用强大的\n治愈之力\n进行可靠支援。
MID_兵種紹介_説明_ゴールドナイト男: 全身穿戴黄金\n铠甲的最强战士。\n在所有职业中以最大\n移动力和一夫当关的\n强大傲视群伦，\n是没有破绽的存在。
MID_兵種紹介_説明_戦士男: 会使用剑，\n各项能力分配\n非常平均。\n可以应付所有\n战况的\n万能型单位。
MID_兵種紹介_説明_魔道士女: 身怀强大的魔力，\n对黑魔法运用自如的\n女性魔道士。\n最大的特征是\n魔法不会受到\n敌人地形效果的\n影响。
MID_兵種紹介_説明_魔道士男: 身怀强大的魔力，\n对黑魔法运用自如的\n男性魔道士。\n最大的特征是\n魔法不会受到\n敌人地形效果的\n影响。
MID_兵種紹介_説明_シスター女: 侍奉神明的修女。\n会使用白魔法，\n是军团里珍贵的\n恢复单位。战斗能力\n很低，站上前线将会\n伴随风险。
MID_兵種紹介_説明_傭兵男: 拿着剑走过无数\n战场的专家。\n具有敏捷的速度和\n高超的技巧，\n容易使出\n暴击。
MID_兵種紹介_説明_アーマー男: 拥有傲人的强大\n防守力，在前线成为\n可靠的盾牌。\n身穿厚重铠甲的\n代价就是牺牲了\n敏捷的动作。
MID_兵種紹介_説明_スナイパー男: 将弓的能力发挥到\n极致的远距离攻击\n专家。\n射程很长，\n却也能切实地\n杀死远处的敌人。
MID_兵種紹介_説明_剣士男: 身怀绝技的\n优秀剑客。\n通过无数战斗\n磨练而成的剑技，\n可以切实地\n让敌人断气。
MID_兵種紹介_説明_バロン男: 以凌驾他人的攻击力\n与超绝的防守力\n为傲。机动性上虽比\n别人慢一步，但整体\n来说没有破绽。
MID_兵種紹介_説明_ファルコンナイト女: 骑着长角的飞马，\n在天空飞翔的\n神圣骑士。\n拥有神圣的力量，\n对魔物具有\n压倒性的攻击力。
MID_兵種紹介_説明_賢者男: 累积了经验的\n男魔道士可成为的\n伟大存在。\n除强大的黑魔法，\n也能使用\n白魔法。
MID_兵種紹介_説明_神官セ: 侍奉神明的\n美丽魔法剑客。\n不只会用剑，\n也能自在地\n运用黑、白两种\n魔法。
