MESS_ARCHIVE_ミラのしもべ・聖なる井戸共通


Message Name: Message


MID_EV_ミラのしもべ2: 似乎没有符合资格之人。
MID_EV_ミラのしもべ_回復前: 柔和的光芒环绕着房间……
MID_EV_ミラのしもべ_回復後: $a$a0等人的疲劳恢复了！
MID_EV_聖なる井戸1_grow: $a$a0之水涌出来了。要让谁饮用呢？
MID_EV_聖なる井戸1_exp: 经验之水涌出来了。要让谁饮用呢？
MID_EV_聖なる井戸1_live: 复活之水涌出来了。要让谁饮用呢？
MID_EV_聖なる井戸1_fine: 恢复疲劳之水涌出来了。\n要饮用吗？（可无限使用）
MID_EV_聖なる井戸1_2: 确定要饮用吗？
MID_EV_聖なる井戸2: 圣井干涸了……
MID_EV_聖なる井戸_枯れている: 圣井仍然干涸着……
MID_EV_聖なる井戸_grow_上昇: $a$a0提升了$a1！！
MID_EV_聖なる井戸_live_復活: $a$a0复活了！！
MID_EV_聖なる井戸_fine_疲労回復: 队伍全员的疲劳恢复了！！
MID_EV_聖なる井戸_grow_不要: $a$a0之水涌出来了。\n现在似乎不需饮用。
MID_EV_聖なる井戸_exp_不要: 经验之水涌出来了。\n现在似乎不需饮用。
MID_EV_聖なる井戸_live_不要: 复活之水涌出来了。\n现在似乎不需饮用。
