MESS_ARCHIVE_GameData


Message Name: Message


MCID_RULE_敵全滅: 敌军全灭
MCID_RULE_敵将撃破: 击败敌将
MBID_その他: 其他
MBID_謎の軍: 神秘军队
MBID_アルム軍: 阿鲁姆军
MBID_セリカ軍: 赛莉卡军
MBID_ミラ教団: 米拉教团
MBID_リゲル帝国軍: 利盖尔帝国军
MBID_ソフィア王国軍: 王国军
MBID_ドーマ教団: 多玛教团
MBID_ギース軍: 吉斯军
MBID_ソフィア解放軍: 解放军
MBID_魔物: 魔物
MBID_海賊: 海盗
MBID_盗賊: 盗贼
MBID_幽霊: 亡灵
MBID_屍兵: 死者的面具
MBID_幻影兵: 幻影兵
MBID_竜族: 龙的眷属
MBID_H_その他: 其他\n其他势力
MBID_H_謎の軍: 神秘军队\n所属不明的势力
MBID_H_アルム軍: 阿鲁姆军\n阿鲁姆率领的势力
MBID_H_セリカ軍: 赛莉卡军\n赛莉卡率领的势力
MBID_H_ミラ教団: 米拉教团\n信仰米拉的教团
MBID_H_リゲル帝国軍: 利盖尔帝国军\n利盖尔帝国的正规部队
MBID_H_ソフィア王国軍: 王国军\n索菲亚王国的正规部队
MBID_H_ドーマ教団: 多玛教团\n信仰多玛的教团
MBID_H_ギース軍: 吉斯军\n盗贼王吉斯的势力
MBID_H_ソフィア解放軍: 解放军\n索菲亚解放军的势力
MBID_H_魔物: 魔物\n恐怖魔物的势力
MBID_H_海賊: 海盗\n海盗的势力
MBID_H_盗賊: 盗贼\n盗贼的势力
MBID_H_幽霊: 亡灵\n被人束缚的灵魂
MBID_H_屍兵: 死者的面具\n彷徨于黑暗的受诅咒存在
MBID_H_幻影兵: 幻影兵\n凭借魔力诞生的幻影
MBID_H_竜族: 龙的眷属\n太古时代就存在的种族
