MESS_ARCHIVE_Fld_拠点_修道院_玄関


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa这里是修道院的入口吗？$k
MID_ADV調べる_door_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa这扇门的另一边似乎是礼拜堂。$k
MID_ADV調べる_baggage_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa全是可以长时间存放的食物。\n是紧急粮食吗……$k
MID_ADV調べる_mira_emblem_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa上面装饰着米拉的纹章。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是这间修道院的入口呢。$k
MID_ADV調べる_door_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa这扇门的另一边是礼拜堂啊。$k
MID_ADV調べる_baggage_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是紧急粮食呢。\n全是可以长时间存放的食物。$k
MID_ADV調べる_mira_emblem_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是米拉大人的纹章呢。$k
MID_ADV_調べるエリア_door: 门
MID_ADV_調べるエリア_baggage: 货物
MID_ADV_調べるエリア_mira_emblem: 米拉的纹章
