MESS_ARCHIVE_TextEdit


Message Name: Message


MID_TEXTEDIT_ひらがな: 平假名
MID_TEXTEDIT_カタカナ: 片假名
MID_TEXTEDIT_漢字: 汉字
MID_TEXTEDIT_英数字: ABC
MID_TEXTEDIT_ハングル: 韩
MID_TEXTEDIT_一字削除: 删除
MID_TEXTEDIT_文字未入力: 尚未输入文字。
MID_TEXTEDIT_文字警告: 所输入的名字包含\n无法显示的字符串或数字，\n因此有可能无法完整呈现给收信人。\n是否确认无误？
MID_TEXTEDIT_文字警告_錬成: 所输入的名字包含\n无法显示的字符串或数字，\n因此有可能无法完整呈现给收信人。\n是否确认无误？
MID_TEXTEDIT_文字禁止: 内容含有无法显示的字符串，\n或含有超过５个字节的数字。\n请重新输入。
MID_TEXTEDIT_名前確認: 此名字在通信时，\n会对其他玩家公开显示。\n是否确认无误？
MID_TEXTEDIT_メッセージ確認: 此信息在通信时，\n会对其他玩家公开显示。\n是否确认无误？
