MESS_ARCHIVE_山の村_C


Message Name: Message


MID_ADV_C_アトラス: $t3$Wmアトラス|5$w0|$Wmセリカ|h$w0|$Wsアトラス|$Wa$SvpV_SC_3_24_ADV1_ATLAS_00|$E通常,|我一直到最近都被派到边界作战。$k$p$SvpV_SC_3_24_ADV1_ATLAS_01|$E悲,|回来时，村子被破坏殆尽，\n弟弟们也被吉斯掳走……$k$p$SvpV_SC_3_24_ADV1_ATLAS_02|$E苦,|我想杀了他，\n但单枪匹马实在不可能。$k$p$SvpV_SC_3_24_ADV1_ATLAS_03|$E怒,|你们会去吉斯堡垒吗？$k$p$SvpV_SC_3_24_ADV1_ATLAS_04|如果会，\n也带我一起去吧。$k
MID_ADV_C_アトラス_SELECT: 要让阿特拉斯成为伙伴吗？
MID_ADV_C_アトラス2: $t3$Wmアトラス|5$w0|$Wmセリカ|h$w0|$Wsアトラス|$Wa$SvpV_SC_3_24_ADV1_ATLAS2_00|$E悲,|是吗……$k$p$SvpV_SC_3_24_ADV1_ATLAS2_01|$E通常,|没关系，\n很抱歉提出了这么无理的要求。$k$p$SvpV_SC_3_24_ADV1_ATLAS2_02|$E怒,|若真的有必要，\n我一个人也会打垮他们。$k
MID_ADV2_C_アトラス: $t3$Wmアトラス|5$w0|$Wmセリカ|h$w0|$Wsアトラス|$Wa$SvpV_SC_3_24_ADV2_ATLAS_00|$E通常,|……什么。\n您愿意带我一起去吗？$k
MID_SUB5_1_1: $Z$t1$Wmおじさん|5$VF隠|$w0|$Wsおじさん|$Wa$VNMPID_魚好きのおじさん|你知道带鱼干吗？$k$p白带鱼就是\n身体扁扁的，带有硬壳。$k$p形状就像是盾牌那样，\n长相奇怪的鱼。$k$p晒成鱼干后，\n极具风味，但那味道会让人上瘾呢。$k$p偶尔会很想吃，\n但最近很难买到……$k$p啊，好久没吃了，真想吃啊……$k
MID_SUB5_1_確認1: 要给他“带鱼干”吗？
MID_SUB5_1_2: $Z$t1$Wmおじさん|5$VF隠|$w0|$Wsおじさん|$Wa$VNMPID_魚好きのおじさん|哦哦，谢谢你！\n我就是想吃这个。$k$p这是谢礼。\n你收下吧。$k
MID_SUB5_1_確認2: 获得“圣兽乳酪”。
MID_SUB5_1_3: $Z$t1$Wmおじさん|5$VF隠|$w0|$Wsおじさん|$Wa$VNMPID_魚好きのおじさん|那个……\n真的很美味。$k
MID_SUB5_1_4: $Z$t1$Wmおじさん|5$VF隠|$w0|$Wsおじさん|$Wa$VNMPID_魚好きのおじさん|什么啊，你明明就没有啊。\n我好失望……$k
MID_SUB5_2_1: $Z$t1$Wmおじさん|5$VF隠|$w0|$Wsおじさん|$Wa$VNMPID_魚好きのおじさん|好想吃带鱼干啊……$k
MID_SUB28_1_0: $Z$t1$Wmおばさん|5$VF隠|$w0|$Wsおばさん|$Wa$VNMPID_くたびれた婦人|啊……\n求求你，帮我找到我的儿子！$k
