MESS_ARCHIVE_Fld_拠点_ソフィア城_謁見の間


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa这里是国王的谒见厅。$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa我想应该是这座城堡里\n最豪华的地方了吧。$k
MID_ADV調べる_kingchair_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa是宝座。\n随便乱摸好像会被骂……$k
MID_ADV調べる_wallA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa是描绘瓦伦西亚历史的浮雕。$k
MID_ADV調べる_wallA_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa我小时候曾经跟赛莉卡\n在绘本里看过。$k
MID_ADV調べる_wallB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa是描绘瓦伦西亚历史的浮雕。$k
MID_ADV調べる_wallB_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa我小时候曾经跟赛莉卡\n在绘本里看过。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是谒见厅呢。\n这里是国王处理政务的地方。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E悲,|……我对这里的回忆\n不是很美好。$k
MID_ADV調べる_kingchair_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa真是极尽奢华的宝座。$k
MID_ADV調べる_wallA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是描绘米拉大人与多玛之战的浮雕啊。$k
MID_ADV調べる_wallA_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa听说它所刻画的画作，\n就收藏在米拉神殿。$k
MID_ADV調べる_wallB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是描绘米拉大人与多玛之战的浮雕啊。$k
MID_ADV調べる_wallB_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa听说它所刻画的画作，\n就收藏在米拉神殿。$k
MID_ADV_調べるエリア_kingchair: 宝座
MID_ADV_調べるエリア_wallA: 墙上的浮雕
MID_ADV_調べるエリア_wallB: 墙上的浮雕
