MESS_ARCHIVE_ResidentMenu


Message Name: Message


MID_MENU_戻る: 返回
MID_MENU_決定: 确定
MID_MENU_外す: 卸下
MID_MENU_初期化: 初始化
MID_H_無し: 无
MID_H_能力値_基本値: 基本值
MID_H_能力値_調子: 状态
MID_H_能力値_弱体: 减少
MID_H_能力値_半減: 减半
MID_H_能力値_消費: 继续移动
MID_H_能力値_所持強化: $a$a0（持有）
MID_MENU_部隊表: 部队表
MID_H_MENU_部隊表: 可确认出战中的单位一览表
MID_MENU_指南: 指南
MID_H_MENU_指南: 可确认游戏的玩法
MID_MENU_環境: 环境
MID_H_MENU_環境: 可设定游戏的游玩环境
MID_MENU_セーブ: 保存
MID_H_MENU_セーブ: 可保存当前的游戏
MID_MENU_命令: 号令
MID_H_MENU_命令: 号令部队
MID_MENU_突撃: 突击
MID_H_MENU_突撃: 接近附近的敌人并攻击
MID_MENU_集合: 集合
MID_H_MENU_集合: 跟随主角，在其周围战斗
MID_MENU_退却: 撤退
MID_H_MENU_退却: 逃离战场（第３回合后可使用）
MID_H_MENU_退却不可_行動済み: 已经有单位行动完毕，无法撤退
MID_H_MENU_退却不可_イベント: 无法从这场战斗中撤退
MID_MENU_退却確認: 真的要撤退吗？
MID_MENU_ミラの歯車: 米拉齿轮
MID_H_MENU_ミラの歯車: 使用米拉的力量，让时间倒流
MID_H_MENU_ミラの歯車メニュー: 使用米拉齿轮。
MID_MENU_中断: 中断
MID_H_MENU_中断: 保存现在的状态后中断游戏
MID_MENU_中断確認: 要保存现在的状态后中断游戏吗？\n（新的中断数据会覆盖原有中断数据。\n下次继续游戏时，中断数据会被删除。）
MID_MENU_降参: 投降
MID_H_MENU_降参: 结束当前的战斗
MID_MENU_降参確認: 要结束当前的战斗吗？
MID_MENU_終了: 结束
MID_H_MENU_終了: 结束我军行动，换敌军行动
MID_MENU_ターン終了確認: 要结束这一回合吗？
MID_MENU_未行動: 尚未行动
MID_ORDER_全力: 全力
MID_ORDER_遊撃: 游击
MID_ORDER_後退: 后退
MID_ORDER_集合: 集合
MID_ORDER_号令解除: 解除号令
MID_ORDER_閉じる: 关闭
MID_H_ORDER_命令: 可以对尚未行动的伙伴\n下达指示
MID_H_ORDER_全力: 全力攻击\n敌人
MID_H_ORDER_遊撃: 各自判断情况，\n采取最合适的战斗方式
MID_H_ORDER_後退: 和敌人保持距离并待命
MID_H_ORDER_集合: 集合到主角身边
MID_H_ORDER_号令解除: 解除正在实行的号令
MID_H_ORDER_閉じる: 不下达号令并返回
MID_MENU_制圧: 压制
MID_MENU_制圧確認: 此地图上的战斗将会结束。是否确认？
MID_MENU_離脱: 脱离
MID_MENU_離脱確認: 要脱离吗？
MID_MENU_突破: 突破
MID_MENU_突破確認: 要突破吗？
MID_MENU_会話: 对话
MID_MENU_攻撃: 攻击
MID_MENU_戦技: 战技
MID_MENU_黒魔法: 黑魔法
MID_MENU_白魔法: 白魔法
MID_MENU_杖: 杖
MID_MENU_特殊杖確認: $a要使用$a0吗？
MID_MENU_破壊: 破坏
MID_MENU_訪問: 访问
MID_MENU_扉: 门
MID_MENU_宝箱: 宝箱
MID_MENU_罠解除: 除陷阱
MID_MENU_持ち物: 持有物
MID_MENU_交換: 易物
MID_MENU_交換確認: 确定要交换吗？
MID_MENU_持ち物無し: 未持有任何道具
MID_MENU_輸送隊: 行囊
MID_MENU_食事: 吃饭
MID_MENU_救出: 救出
MID_MENU_入れ替え: 替换
MID_MENU_階段: 楼梯
MID_MENU_転移: 转移
MID_MENU_ワープ: 传送
MID_MENU_障害物取得: 取得
MID_MENU_障害物設置: 设置
MID_MENU_待機: 待命
MID_MENU_持ち物_装備: 装备
MID_MENU_持ち物_外す: 卸下
