MESS_ARCHIVE_Fld_拠点_ソフィア城_宝物庫


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa这里是宝物库吗？$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa被翻得乱七八糟……\n是多哲他们做的好事吗？$k
MID_ADV調べる_treasure_boxA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa宝箱里空空如也。$k
MID_ADV調べる_treasure_boxB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa里面的东西已经被拿走了。$k
MID_ADV調べる_baggageA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa没有什么派得上用场的东西。$k
MID_ADV調べる_baggageB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa货物杂乱地堆在一起。$k
MID_ADV調べる_sun_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa夕阳好耀眼……$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa这里是宝物库呢。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E特殊1,|还记得我小时候，\n经常躲在这里玩耍。$k
MID_ADV調べる_treasure_boxA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa宝箱里空无一物呢。$k
MID_ADV調べる_treasure_boxB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa我记得里面应该装有\n索菲亚王族代代相传的宝剑……$k
MID_ADV調べる_baggageA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa东西都杂乱无章。\n以前收拾得整齐多了……$k
MID_ADV調べる_baggageB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa没有派得上用场的东西呢。$k
MID_ADV調べる_sun_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E笑,|夕阳好美……$k
MID_ADV_調べるエリア_treasure_boxA: 宝箱
MID_ADV_調べるエリア_treasure_boxB: 宝箱
MID_ADV_調べるエリア_baggageA: 货物
MID_ADV_調べるエリア_baggageB: 货物
MID_ADV_調べるエリア_sun: 夕阳
