MESS_ARCHIVE_LinkMenu


Message Name: Message


MID_LINKMENU_新規登録促す: 必须登录简历卡，\n才能使用通信功能。
MID_LINKMENU_あいさつカード: 简历卡
MID_LINKMENU_あいさつカード_説明: 编辑自己的简历卡
MID_LINKMENU_グローバルランキング: 全球排行榜
MID_LINKMENU_グローバルランキング_説明: 可以确认目前的排行榜
MID_LINKMENU_すれ違いランキング: 瞬缘记录
MID_LINKMENU_すれ違いランキング_説明: 可以确认瞬缘记录的历史记录
MID_LINKMENU_DLC: 追加内容
MID_LINKMENU_DLC_説明: 使用下载内容
MID_LINKMENU_通信設定: 通信设置
MID_LINKMENU_通信設定_説明: 进行通信相关设置
MID_LINKMENU_いつの間に通信設定: 悄然连接
MID_LINKMENU_いつの間に通信設定_説明: 设置开启或关闭悄然连接
MID_LINKMENU_プレイ内容送信設定: 传送游玩内容
MID_LINKMENU_プレイ内容送信設定_説明: 设置开启或关闭传送游玩内容
MID_LINKMENU_データ受信: 接收数据
MID_LINKMENU_データ受信_説明: 进行接收特定数据的操作
MID_LINKMENU_ログイン中: 请稍候……
MID_LINKMENU_ログアウト中: 请稍候……
MID_LINKMENU_通信エラー_無線OFF: 无线通信功能设置为关闭，\n因此无法通信。\n请开启无线通信功能。
MID_LINKMENU_通信エラー_汎用: 发生错误。\n■请稍后再试。\n■如果症状无法恢复，\n　请咨询主机使用说明书上的\n　任天堂技术服务中心。
MID_LINKMENU_ランキング取得中: 正在载入排行榜……
MID_LINKMENU_ランキング_総合: 综合排行榜
MID_LINKMENU_ランキング_国別: 地区排行榜
MID_LINKMENU_ランキング_週間: 周排行榜
MID_LINKMENU_すれちがい_データなし: 您还没有瞬缘记录
MID_LINKMENU_すれちがい_タイトル: 瞬缘记录
MID_LINKMENU_すれちがい_回数: 次数
MID_LINKMENU_すれちがい_勲章: 勋章
MID_LINKMENU_すれちがい_見る: 查看简历卡
MID_LINKMENU_すれちがい_星ON: 加上★
MID_LINKMENU_すれちがい_星OFF: 取消★
MID_LINKMENU_すれちがい_ウワサ: 探听消息
MID_LINKMENU_すれちがい_プレゼント: 接收礼物
MID_LINKMENU_すれちがい_ウワサ_敵: $a似乎有人出现在$a0
MID_LINKMENU_すれちがい_ウワサ_宝: $a似乎有宝物藏在$a0
