MESS_ARCHIVE_ラムの村_C


Message Name: Message


MID_ADV_C_クリフ仲間入り会話1_アルム: $t3$Wmクリフ|5$w0|$Wmアルム|h$w0|$Wsクリフ|$Wa$SvpV_SC_1_09_ADV_QULYF_JOIN_CLAMP_0_00|我也可以去。$k$p$SvpV_SC_1_09_ADV_QULYF_JOIN_CLAMP_0_01|解放军正在整个\n索菲亚战斗吧？$k$p$SvpV_SC_1_09_ADV_QULYF_JOIN_CLAMP_0_02|$E笑,|只要想到可以环游世界，\n那也不错。$k$p$SvpV_SC_1_09_ADV_QULYF_JOIN_CLAMP_0_03|虽然也许会死掉。$k
MID_ADV_C_クリフ_SELECT: 要让克里夫成为伙伴吗？
MID_ADV_C_クリフ2: $t3$Wmクリフ|5$w0|$Wmアルム|h$w0|$Wsクリフ|$Wa$SvpV_SC_1_09_ADV3_QULYF2_00|$E通常,|……好吧。$k$p$SvpV_SC_1_09_ADV3_QULYF2_01|无所谓。\n我其实也不是非去不可。$k
MID_ADV_C_クリフ仲間入り会話2: $t3$Wmクリフ|5$w0|$Wmアルム|h$w0|$Wsクリフ|$Wa$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_1_00|$E通常,|……什么？\n我可以跟去吗？$k
MID_ADV_C_クリフ仲間入り会話1_セリカ: $t3$Wmクリフ|5$w0|$Wmセリカ|h$w0|$Wsクリフ|$Wa$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_00|$E驚,|……太惊讶了。\n你是赛莉卡吧？$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_01|$E笑,|好久不见。\n你平安回来啦。$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_02|$E通常,|阿鲁姆他们……\n发生了好多事，现在不在村里。$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_03|迈森先生也不知去哪儿了。$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_04|$E悲,|唉……$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_05|本来这村子就什么都没有，\n这下更无聊了。$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_06|$E通常,|赛莉卡在去哪里的路上吗？$k$p$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_0_07|$E笑,|如果可以，\n也带我去吧。$k
MID_ADV_C_クリフ1_SELECT_セリカ: 要让克里夫成为伙伴吗？
MID_ADV_C_クリフ2_セリカ: $t3$Wmクリフ|5$w0|$Wmセリカ|h$w0|$Wsクリフ|$Wa$SvpV_SC_2_13_ADV1_QULYF2_00|$E通常,|……好吧。$k$p$SvpV_SC_2_13_ADV1_QULYF2_01|无所谓。\n我其实也不是非去不可。$k
MID_ADV_C_クリフ仲間入り会話2_セリカ: $t3$Wmクリフ|5$w0|$Wmセリカ|h$w0|$Wsクリフ|$Wa$SvpV_SC_2_13_ADV_QULYF_JOIN_CLAMP_1_00|$E通常,|……什么？\n我可以跟去吗？$k
MID_ADV_C_エフィ仲間入り会話1_アルム: $t3$Wmエフィ|5$w0|$Wmアルム|h$w0|$Wsエフィ|$Wa$Wv$SvpV_SC_1_09_ADV_EFI_JOIN_CLAMP_0_00|$Eキメ,|哇！我也要去！$k$p$SvpV_SC_1_09_ADV_EFI_JOIN_CLAMP_0_01|如果阿鲁姆要去，\n不管是哪里我都要一起去！$k
MID_ADV_C_エフィ_SELECT: 要让艾菲成为伙伴吗？
MID_ADV_C_エフィ2: $t3$Wmエフィ|5$w0|$Wmアルム|h$w0|$Wsエフィ|$Wa$SvpV_SC_1_09_ADV3_EFI2_00|$E悲,|是吗……$k$p$SvpV_SC_1_09_ADV3_EFI2_01|既然阿鲁姆那样说的话，\n我就在这里等。$k$p$SvpV_SC_1_09_ADV3_EFI2_02|$E特殊1,|我会一直等着\n阿鲁姆归来……$k
