MESS_ARCHIVE_Link


Message Name: Message


MID_LINK_NSD_CONFIRM: 发送数据已损毁。\n将删除发送数据。
MID_LINK_EXT_CONFIRM: 追加数据已损毁。\n将修复追加数据。
MID_LINK_DLC_CONFIRM: 追加内容已损毁。\n将重建追加内容。
MID_LINK_NSD_RESULT: 已删除发送数据。\n请重新登录\n悄然连接。
MID_LINK_EXT_RESULT: 已修复追加数据。\n请重新登录悄然连接\n或是追加内容。
MID_LINK_DLC_RESULT: 已重建追加内容。
MID_LINK_PC_P2P: “和其他用户的互联网连接”\n受监护人限制，\n因此无法使用本功能。
MID_LINK_PC_RICH_UGC: “相片、圖像、聲音、\n視頻以及長篇文字的收發”\n受监护人限制，\n因此无法使用本功能。
MID_EXT_NOT_FOUND: 无法识别ＳＤ卡。\n请先关闭电源，\n重新插入ＳＤ卡。
MID_EXT_FAILD: 无法识别ＳＤ卡。\n请先关闭电源，\n重新插入ＳＤ卡。
MID_EXT_CREATE: 正在向ＳＤ卡\n建立追加数据。
MID_EXT_CREATING: 正在建立追加数据。\n请勿触碰ＳＤ卡，\n或是电源键。
MID_EXT_CREATED: 已向ＳＤ卡\n建立追加数据。
MID_EXT_READ: 正在读取追加数据。\n请勿触碰ＳＤ卡，\n或是电源键。
MID_EXT_FORMAT: 正在修复追加数据。\n请勿触碰ＳＤ卡，\n或是电源键。
MID_EXT_NOT_MEDIA: 无法识别ＳＤ卡。\n请先关闭电源，\n重新插入ＳＤ卡。
MID_EXT_NOT_SPACE: ＳＤ卡剩余格数不足。\n请从主机设置的“数据管理”中\n删除ＳＤ卡内不需要的数据。
MID_EXT_NOT_WRITE: ＳＤ卡已开启写保护。\n请先关闭电源\n及ＳＤ卡的写保护开关，\n再重新插入ＳＤ卡。
MID_EXT_NOT_ACCESS: 无法识别ＳＤ卡。
MID_EXT_BAD_FORMAT: 无法识别ＳＤ卡。
MID_EXT_ERROR: 无法识别ＳＤ卡。
MID_DLC_READ: 正在读取追加内容
MID_DLC_MOUNT: 正在确认追加内容。\n请勿触碰ＳＤ卡，\n或是电源键。
MID_DLC_EXTSAVE: 已向ＳＤ卡\n建立追加数据。
MID_DLC_RESTORE: 正在重建追加内容。\n请勿触碰ＳＤ卡，\n或是电源键。
MID_DLC_RESTORE_FAILED: 由于追加内容被删除，\n可能导致重建失败。\n请重新下载追加内容。
MID_DLC_NOT_MEDIA: 无法识别ＳＤ卡。
MID_DLC_NOT_ACCESS: 无法识别ＳＤ卡。
MID_DLC_NOT_ARCHIVE: 无法识别ＳＤ卡。
MID_DLC_BAD_FORMAT: 无法识别ＳＤ卡。
MID_DLC_NOT_VERIFY: 追加内容已损毁。\n请重新下载追加内容。
MID_DLC_ERROR: 无法识别ＳＤ卡。\n请重新下载追加内容。
MID_DLC_NOT_CONTENT: 找不到追加内容。
MID_DLC_NOT_TITLE: 找不到追加内容。\n购买追加内容后便可使用。
MID_DLC_CHECK: 要查看追加内容吗？
