MESS_ARCHIVE_Decoration


Message Name: Message


MID_勲章取得: $a获得勋章$a0！
MID_はじめての勝利: 【初次胜利】
MID_ソフィアの英雄: 【索菲亚的英雄】
MID_聖廟の門番: 【圣庙的守卫】
MID_聖地奪還: 【夺回圣地】
MID_終戦: 【终结战争】
MID_人類の創世記: 【人类的创世纪】
MID_戦術的退却: 【战略性撤退】
MID_戦闘技術: 【战斗技术】
MID_地の利: 【地利】
MID_時の歯車: 【时间齿轮】
MID_騎士勲章: 【骑士勋章】
MID_将軍勲章: 【将军勋章】
MID_覇王勲章: 【霸王勋章】
MID_アンダーテイカー: 【送葬者】
MID_トライアングルアタック: 【三角攻阵】
MID_戦神の化身: 【战神的化身】
MID_女神の化身: 【女神的化身】
MID_匠の業物: 【名匠的利刃】
MID_アカネイアの神器: 【阿卡奈亚的神器】
MID_強き絆: 【深厚情谊】
MID_圧倒的成長！: 【压倒性成长！】
MID_グルメの流儀: 【美食家的作风】
MID_歴戦の勇士: 【身经百战的勇士】
MID_不滅の軍団: 【不灭的军团】
MID_命の重み: 【生命的沉重】
MID_バレンシアの覇王: 【瓦伦西亚的霸王】
MID_ドラゴンスレイヤー: 【屠龙者】
MID_黄金コレクター: 【黄金收藏家】
MID_絶望の拍動: 【绝望的脉动】
MID_電撃作戦: 【电击作战】
MID_謎の遺物: 【神秘遗物】
MID_炎の紋章: 【火焰纹章】
MID_H_はじめての勝利: 初次战斗胜利，\n因此获颁这枚勋章
MID_H_ソフィアの英雄: 解放了索菲亚城堡，\n为表彰功绩而获颁这枚勋章
MID_H_聖廟の門番: 打败了海的祠堂的龙僵尸，\n为表彰功绩而获颁这枚勋章
MID_H_聖地奪還: 从利盖尔帝国掌控中解放了米拉神殿，\n为表彰功绩而获颁这枚勋章
MID_H_終戦: 终结了与利盖尔帝国的战争，\n为表彰功绩而获颁这枚勋章
MID_H_人類の創世記: 终结了神祇的时代，引领世界走向新时代，\n获颁这枚勋章为证
MID_H_戦術的退却: 认清自己身处的战场情况，冷静地撤退了，\n因此获颁这枚勋章
MID_H_戦闘技術: 熟练地使用战技，促使战况变得有利，\n因此获颁这枚勋章
MID_H_地の利: 活用地利，促使战况变得有利，\n因此获颁这枚勋章
MID_H_時の歯車: 彻底使用了超越人类智慧的力量，\n为此获颁这枚勋章
MID_H_騎士勲章: 在索菲亚王国变得家喻户晓，\n为此获颁这枚勋章
MID_H_将軍勲章: 在瓦伦西亚大陆上声名远播，\n因此获颁这枚勋章
MID_H_覇王勲章: 超越了大陆的界线，在世界上声名大噪，\n因此获颁这枚勋章
MID_H_アンダーテイカー: 打败众多不死族的敌人，\n为表彰此事而获颁这枚勋章
MID_H_トライアングルアタック: 使用了传说中的战技三角攻阵，\n为此获颁这枚勋章
MID_H_戦神の化身: 学会并使用了阿鲁姆的奥义，\n为此获颁这枚勋章
MID_H_女神の化身: 学会并使用了赛莉卡的奥义，\n为此获颁这枚勋章
MID_H_匠の業物: 通过炼成而强化武器，\n为此获颁这枚勋章
MID_H_アカネイアの神器: 集齐了阿卡奈亚王族的３件神器，\n为表彰伟业而获颁这枚勋章
MID_H_強き絆: 和许多伙伴缔结深厚情谊，\n为表彰此事而获颁这枚勋章
MID_H_圧倒的成長！: 完成了非常难得的成长，\n获颁这枚勋章作为纪念
MID_H_グルメの流儀: 食用了许多食物，\n为表彰此事而获颁这枚勋章
MID_H_歴戦の勇士: 进行过许多场战斗，\n因此获颁这枚勋章
MID_H_不滅の軍団: 在无数的战斗中存活了下来，\n为表彰此事而获颁这枚勋章
MID_H_命の重み: 理解生命的重量，跨越了重重苦难，\n为表彰此事而获颁这枚勋章
MID_H_バレンシアの覇王: 克服了极其困难的状况，\n为此获颁这枚勋章
MID_H_ドラゴンスレイヤー: 打倒了众多龙族的敌人，\n为表彰此事而获颁这枚勋章
MID_H_黄金コレクター: 从为数众多的霸者身上收集了金币，\n为表彰此事而获颁这枚勋章
MID_H_絶望の拍動: 封印了会毁灭世界的对手，\n因为此份功绩而获颁这枚勋章
MID_H_電撃作戦: 非常快速地终结了战争，\n因为此份功绩而获颁这枚勋章
MID_H_謎の遺物: 集齐了自古代流传下来的神秘遗物，\n为表彰功绩而获颁这枚勋章
MID_H_炎の紋章: 被认可为名副其实的真正王者，\n因此获颁这枚勋章
