MESS_ARCHIVE_System


Message Name: Message


MID_SYS_クラシック: 经典
MID_SYS_カジュアル: 轻松
MID_SYS_フェニックス: 不死鸟
MID_SYS_ノーマル: 普通
MID_SYS_ハード: 困难
MID_SYS_EN_レベル: Lv.
MID_SYS_EN_レベル２: LV
MID_SYS_EN_経験値: Ex.
MID_SYS_EN_経験値２: EXP
MID_SYS_ＨＰ: ＨＰ
MID_SYS_EN_ＨＰ: HP
MID_SYS_EN_ＭＨＰ: MHP
MID_SYS_クラス: 职种
MID_SYS_力: 力量
MID_SYS_魔力: 魔力
MID_SYS_技: 技巧
MID_SYS_速さ: 速度
MID_SYS_幸運: 幸运
MID_SYS_守備: 防守
MID_SYS_魔防: 魔防
MID_SYS_移動: 移动
MID_SYS_射程: 射程
MID_SYS_クラス_E: CLASS
MID_SYS_力_E: ATK
MID_SYS_魔力_E: ATK
MID_SYS_技_E: TEC
MID_SYS_速さ_E: SPD
MID_SYS_幸運_E: LUC
MID_SYS_守備_E: DEF
MID_SYS_魔防_E: RES
MID_SYS_移動_E: MOV
MID_SYS_特効: 特效
MID_SYS_EN_射程_魔力／２: HALF
MID_SYS_EN_射程_∞: INF
MID_SYS_射程_魔力: ATK
MID_SYS_射程_全体: 全体
MID_SYS_攻撃: 攻击
MID_SYS_命中: 命中
MID_SYS_必殺: 暴击
MID_SYS_回避: 回避
MID_SYS_必殺回避: 暴击回避
MID_SYS_物理回避: 物理回避
MID_SYS_魔法回避: 魔法回避
MID_SYS_命中_E: HIT
MID_SYS_必殺_E: CRT
MID_SYS_物理回避_E: P.AVO
MID_SYS_魔法回避_E: M.AVO
MID_SYS_威力: 威力
MID_SYS_回復力: 恢复力
MID_SYS_重さ: 重量
MID_SYS_消費ＨＰ: 消耗ＨＰ
MID_SYS_ＨＰ回復: 恢复ＨＰ
MID_SYS_疲労回復: 恢复疲劳
MID_SYS_疲労回復_なし: 无
MID_SYS_疲労回復_小: 小
MID_SYS_疲労回復_中: 中
MID_SYS_疲労回復_大: 大
MID_SYS_武器: 武器
MID_SYS_剣: 剑
MID_SYS_槍: 枪
MID_SYS_斧: 斧
MID_SYS_弓: 弓
MID_SYS_魔法: 魔法
MID_SYS_魔道書: 魔
MID_SYS_杖: 杖
MID_SYS_竜石: 龙石
MID_SYS_獣石: 兽石
MID_SYS_魔物: 爪
MID_SYS_ボス: 吐息
MID_SYS_道具: 道具
MID_SYS_支援: 支援
MID_SYS_レベルＳ: Ｓ
MID_SYS_レベルＡ: Ａ
MID_SYS_レベルＢ: Ｂ
MID_SYS_レベルＣ: Ｃ
MID_SYS_レベルＤ: Ｄ
MID_SYS_レベルＥ: Ｅ
MID_SYS_レベルＮ: －
MID_SYS_EN_レベルＳ: S
MID_SYS_EN_レベルＡ: A
MID_SYS_EN_レベルＢ: B
MID_SYS_EN_レベルＣ: C
MID_SYS_EN_レベルＤ: D
MID_SYS_EN_レベルＥ: E
MID_SYS_EN_レベルＮ: -
MID_SYS_待機不可: 无法待命
MID_SYS_スキップ中: 现正略过
MID_SYS_お任せ実行中: 解除号令
MID_SYS_お任せ解除中: 现正解除号令
MID_SYS_ターン数: 回合
MID_SYS_会話自動送り開始: 开启自动对话
MID_SYS_会話自動送り停止: 关闭自动对话
MID_SYS_EN_軍資金単位: G
MID_SYS_銀貨: 古老银币
MID_SYS_金貨: 霸者金币
MID_SYS_勝利条件: 胜利条件
MID_SYS_ミス: MISS
MID_SYS_ノーダメージ: NO DAMAGE
MID_SYS_ガード: GUARD
MID_TLP_青軍フェイズ: Player　Phase
MID_TLP_赤軍フェイズ: Enemy　Phase
MID_TLP_緑軍フェイズ: Ally　Phase
MID_TLP_マップクリア: 战斗结束
MID_TLP_退却: 撤退
