challenge_mode.msbt
Challenge_Title_001	ドングリへいげんを かけぬけろ！
Challenge_Content_001	70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールをめざせ！
Challenge_Message1_001	70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_001	60.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_001	53.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_003	さばくの イワヘムダッシュ！
Challenge_Content_003	80.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールをめざせ！
Challenge_Message1_003	80.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_003	60.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_003	56.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_004	ふしぎな石のとりでを かけ上がれ！
Challenge_Content_004	カベを上手につかって\n90.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールリングをめざせ！
Challenge_Message1_004	90.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_004	70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_004	60.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_005	カニボーたいじと タイムアタック！
Challenge_Content_005	すべてのカニボーを たおして\n85.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールをめざせ！
Challenge_Message1_005	85.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message2_005	72.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Message3_005	67.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
Challenge_Title_006	でかウニラを とびこえて！
Challenge_Content_006	75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いないで ゴールをめざせ！
Challenge_Message1_006	75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;いない
