challenge_mode.msbt
Challenge_Title_001	穿过橡栗平原！
Challenge_Content_001	70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内抵达终点！
Challenge_Message1_001	70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_001	60.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_001	53.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_003	沙漠的岩石像冲刺！
Challenge_Content_003	80.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内抵达终点！
Challenge_Message1_003	80.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_003	60.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_003	56.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_004	爬上神奇的石堡垒！
Challenge_Content_004	利用好墙壁，\n并于90.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内穿过终点圆环！
Challenge_Message1_004	90.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_004	70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_004	60.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_005	打倒蟹宝宝！计时赛！
Challenge_Content_005	打倒所有的蟹宝宝，\n并于85.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内抵达终点！
Challenge_Message1_005	85.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_005	72.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_005	67.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_006	跳过海胆大哥！
Challenge_Content_006	75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内抵达终点！
Challenge_Message1_006	75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_006	65.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_006	61.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_008	冰锥洞窟冲刺
Challenge_Content_008	100.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内抵达终点！
Challenge_Message1_008	100.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_008	80.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_008	73.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_009	越过雪山上的炮弹刺客！
Challenge_Content_009	65.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内抵达终点！
Challenge_Message1_009	65.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_009	55.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_009	51.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_011	小心海象！
Challenge_Content_011	70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内抵达终点！
Challenge_Message1_011	70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_011	58.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_011	55.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_012	危险的毒沼泽
Challenge_Content_012	80.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内抵达终点！
Challenge_Message1_012	80.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_012	70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_012	65.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_018	利用螺旋台快速冲刺！
Challenge_Content_018	90.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内穿过终点圆环！
Challenge_Message1_018	90.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_018	75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_018	65.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_020	打倒胖飞鼠和收集金币
Challenge_Content_020	打倒所有的胖飞鼠并收集金币！\n※碰到地面，游戏就会结束！
Challenge_Message1_020	40枚
Challenge_Message2_020	60枚
Challenge_Message3_020	67枚
Challenge_Title_022	注意城堡中的金币！
Challenge_Content_022	在不获取金币的情况下穿过终点圆环！\n※获取6枚以上的金币就算失败。
Challenge_Message1_022	5枚
Challenge_Message2_022	2枚
Challenge_Message3_022	0枚
Challenge_Title_023	快快收集！沙漠中的隐藏金币！
Challenge_Content_023	踩P开关收集金币！\n※P开关的效果消失后，游戏就会结束。
Challenge_Message1_023	46枚
Challenge_Message2_023	50枚
Challenge_Message3_023	52枚
Challenge_Title_024	躲避金币并抵达终点！
Challenge_Content_024	不获取任何金币，\n并于70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内抵达终点！
Challenge_Message1_024	70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_024	58.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_024	53.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_026	躲避尖刺栗宝宝以及不获取金币。
Challenge_Content_026	不获取金币并抵达终点！\n※获取6枚以上的金币就算失败。
Challenge_Message1_026	5枚
