langid:CD72A3F6
14    {ts:0.9}５Ｆ{/ts}
240    {ts:0.9}１０Ｆ{/ts}
266    {ts:0.9}２５Ｆ{/ts}
A79    ＯＫ
A7C    On
D0C4    {ts:0.95}下载游戏{/ts}
15509    {vs:-11}{ts:0.8}{p}　ＮＥＷ！{/ts}{/vs}
1595A    Off
254E70    {vs:-22}{ts:1.1}ɓ 返回{p}{/ts}{/vs}
26F5B1    {ts:0.9}普通{/ts}
289A9E    {ts:0.9}达人{/ts}
29C19B    {tp:0.04}赶快调整心情，{p}{p}下一个任务也拜托了，{p}{clr:51E949}路易吉{clr:pop}！{/tp}
2D3754    POCS
2E15EB    {ts:0.9}评级：{/ts}
6F9CD2    {ts:0.85}总时间{/ts}
A2D3AE    {tp:0.12}{ts:0.95}……{clr:51E949}路易吉{clr:pop}，{p}{p}听得见吗？{/ts}{/tp}
A2D3AF    {tp:0.01}{ts:0.95}嗬嗬——！{p}{p}好像终于把{clr:A554D0}暗月碎片{clr:pop}给{p}夺回来了啊，{p}感谢你喔！！{/ts}{/tp}
A2D3B0    {tp:0.04}{ts:0.95}但是……{p}{p}真是一场{p}让人手心出汗的战斗啊……{p}没受伤吧？{p}{p}老夫也不知道{p}还有那样的鬼怪哩。{/ts}{/tp}
A2D3B1    {tp:0.01}{ts:0.95}赶紧，老夫也想看看！{p}{p}马上回{clr:FF9754}实验室基地{clr:pop}来吧！{/ts}{/tp}
1041D8B    兽纹夹克
1F7A5FA    {tp:0.12}{ts:0.95}如何，{clr:51E949}路易吉{clr:pop}？{/ts}{/tp}
1F7A5FB    {tp:0.12}{ts:0.95}老夫这边啊……{p}{p}迷迷糊糊地打瞌睡，做了个好梦……{p}{p}…………………{p}{p}……………{p}{p}哈！{/ts}{/tp}
1F7A5FC    {tp:0.01}{ts:0.95}不是不是不是！{p}{p}老夫拼命地调查{clr:A554D0}暗月碎片{clr:pop}的{p}下落了啊！{/ts}{/tp}
1F7A5FD    {tp:0.04}{ts:0.95}话说回来……{p}{p}有没有找到{clr:51E949}奇诺比奥{clr:pop}？{p}{p}噢，是吗，{p}那就太好了。{p}{clr:FF9754}里院{clr:pop}里有{clr:71D2FF}传送装置{clr:pop}，{p}{p}用那个把{clr:51E949}奇诺比奥{clr:pop}{p}传送回来吧！{p}拜托啦，{clr:51E949}路易吉{clr:pop}！{/ts}{/tp}
252E2A1    {ts:0.84}发电机室{/ts}
271F1FE    {ts:0.95}{clr:00CACB}E-3{clr:pop}　别错过火车～！{/ts}
3358A6A    霸骚灵
3807A88    {tp:0.04}{ts:0.95}厉害喔，{clr:51E949}路易吉{clr:pop}！{p}{p}用{clr:71D2FF}鬼怪吸尘器{clr:pop}大闹了一场啊！{p}{p}就连年轻时的老夫也没法{p}这样干净利落啊，{p}工作状态不错！{p}{p}回{clr:FF9754}实验室基地{clr:pop}来吧！{/ts}{/tp}
3B754A0    {ts:0.85}　在奇诺比奥拿来的相片中，{p}能看到在铁道展区中聚集的{p}嘘嘘鬼们和被封入画中的马力欧……{p}马上向铁道展区前进！{/ts}
3D10C00    {tp:0.01}{ts:0.9} 调查实验室。{/ts}{/tp}
3D10C01    {tp:0.01}{ts:0.9} 调查会客厅。{/ts}{/tp}
3D10C02    {tp:0.01}{ts:0.9} 调查画室。{/ts}{/tp}
3D10C03    {tp:0.01}{ts:0.9} 调查秘密的学习间。{/ts}{/tp}
3E32481    {tp:0.01}{ts:0.9} 调查苗木实验室。{/ts}{/tp}
3E32482    {tp:0.01}{ts:0.9} 调查工具仓库。{/ts}{/tp}
3E32483    {tp:0.01}{ts:0.9} 调查风琴室。{/ts}{/tp}
3E32485    {tp:0.01}{ts:0.9} 调查里院。{/ts}{/tp}
3EFFE16    {ts:0.85}　猎人高塔！{/ts}
407E1E4    {tp:0.01}{ts:0.9} 解开绿色的鬼怪封印。{/ts}{/tp}
407E1E5    {tp:0.01}{ts:0.9} 解开红色的鬼怪封印。{/ts}{/tp}
407E1E6    {tp:0.01}{ts:0.9} 解开黄色的鬼怪封印。{/ts}{/tp}
4137972    {vs:3}{ts:0.85}{p}展览间奖励{/ts}{/vs}
4181F51    {tp:0.01}{ts:0.9} 捕捉所有的鬼怪。{/ts}{/tp}
4196E04    {tp:0.01}{ts:0.9} 寻找另一个奇诺比奥。{/ts}{/tp}
4196E05    {tp:0.01}{ts:0.9} 寻找另一个奇诺比奥。{/ts}{/tp}
44CBABF    {ts:0.85}劳动能手{/ts}
45006D6    {ts:1.1}展览间正在准备！{p}去完成怨恨宅邸的{p}最初任务！！{/ts}
4A8FDD4    {tp:0.04}等你好久啦，{clr:51E949}路易吉{clr:pop}！{p}{p}那些强大的鬼怪们{p}{p}是非常有意思的研究对象哇。{p}{p}但是对于我们来说，{p}还有不得不做的非常重要的事情！{p}明白吗？{/tp}
4A8FDD5    {tp:0.04}对，{p}是{clr:A554D0}暗月碎片{clr:pop}的调查啊！{/tp}
4A8FDD6    {tp:0.01}有好消息要告诉你！{p}{p}就在刚才，把{clr:A554D0}碎片{clr:pop}的位置{p}锁定下来了哩。{p}凭借着微弱的反应，{p}老夫拼命地计算{p}{clr:A554D0}碎片{clr:pop}所在的位置，{p}终于推算出来了！{p}老夫依旧是天才啊～{p}{p}被自己迷得神魂颠倒哇。{p}{p}呋、呋、呋！{/tp}
4A8FDD7    {tp:0.04}那么，{p}{clr:A554D0}碎片{clr:pop}的位置呢，{p}在跨过深谷后的……{p}{p}{clr:FF9754}主实验室{clr:pop}里。{p}{p}{clr:A554D0}暗月碎片{clr:pop}就在那个{p}{clr:FF9754}主实验室{clr:pop}里面喔！{/tp}
4A8FDD8    {tp:0.04}但是呢……{p}{p}虽想像往常一样用{clr:71D2FF}ＧＣ{clr:pop}把你送过去，{p}可惜啊……{p}{clr:FF9754}主实验室{clr:pop}前的照相机{p}不知道什么原因毫无反应。{p}……就是这么回事，{p}{p}只能拜托你靠自己的力量{p}越过峡谷哩！{/tp}
4A8FDD9    {tp:0.04}确实……{p}{p}{clr:FF9754}地下集散所{clr:pop}里好像有{p}吊舱的{clr:FF9754}车站{clr:pop}……{/tp}
4A8FDDA    {tp:0.04}嗯～……{p}想不起来哩。{p}抱歉啊，{p}能不能自己调查一下呢？{/tp}
4A8FDDB    {tp:0.04}到了{clr:FF9754}地下集散所{clr:pop}，{p}应该会有什么头绪的！{/tp}
4A8FDDC    {tp:0.04}拜托啦，{clr:51E949}路易吉{clr:pop}！{/tp}
4B1E2B0    {ts:0.84}地下回廊{/ts}
4D6FA46    {ts:0.9}　红硬币奖励！{/ts}
4E24D2D    {tp:0.01}{ts:0.95}双～重胜利～！{/ts}{/tp}
4E24D2E    {tp:0.04}{ts:0.95}{clr:71D2FF}零件{clr:pop}和古代品种的鬼怪……{/ts}{/tp}
4E24D2F    {tp:0.01}{ts:0.95}同时得到２个{p}{p}真是名不虚传，{clr:51E949}路易吉{clr:pop}！{p}{p}快点回{clr:FF9754}实验室基地{clr:pop}来～！{/ts}{/tp}
50C336E    新游戏
51DBAA1    {ts:0.8}楼层{/ts}
559496F    展览间合计
5819C2D    {ts:0.9}否{/ts}
58DC1AA    {ts:0.84}密林展区{/ts}
60D210D    开始游戏
63953AB    {ts:0.9}展览间{/ts}
6530CA7    {ts:0.95}与任何人{/ts}
