langid:7A947B29
14    5
240    10
266    25
A79    OK
A7C    On
D0C4    Download Play
15509    NEW
1595A    Off
254E70    ɓ Back
26F5B1    Normal
289A9E    Expert
29C19B    {tp:0.01}And you, {clr:51E949}Luigi{clr:pop}...{p}{p}{p}Once this is all over, you'll finally{p}step out of your brother's shadow{p}and be recognized as a true hero.{/tp}
2D3754    POCS
2E15EB    Rank:
6F9CD2    Total Time:
A2D3AE    {tp:0.01}Remarkable!{p}A ghost{clr:FFFCFC} {clr:pop}that can possess other{p}beings!{/tp}
A2D3AF    {tp:0.01}And, unless my eyes are going,{p}the possessor had a piece of{p}the {clr:A554D0}Dark Moon{clr:pop} inside himself!{/tp}
A2D3B0    {tp:0.01}Oh...by the way... Are you OK?{p}That was a pretty intense{p}scuffle!{p}But you and the{p}{clr:71D2FF}Poltergust 5000 {clr:pop}really showed{p}that boss ghost who's...boss!{/tp}
A2D3B1    {tp:0.01}I'm sure you're tired after that{p}fight. I'll bring you back now.{/tp}
1041D8B    Freaker Sneaker
1F7A5FA    {tp:0.01}Hey, young feller.{p}How's it going up there?{/tp}
1F7A5FB    {tp:0.01}I haven't been checking in on{p}you because I've been napp—{p}{/tp}
1F7A5FC    {tp:0.01}Err...looking for the {clr:A554D0}Dark Moon{clr:pop}{p}piece, of course!{/tp}
1F7A5FD    {tp:0.01}Yaaawn...{p}Anyhoo, have you found that{p}blasted Toad yet?{p}Once you do, send him through{p}the {clr:71D2FF}Pixelator Screen {clr:pop}in the{p}{clr:FF9754}Inner Courtyard{clr:pop}.{/tp}
252E2A1    Hydro Generator
271F1FE    {clr:71D2FF}E-3{clr:pop} A Train to Catch
3358A6A    The Brain
3807A88    {tp:0.01}Whoa there, {clr:51E949}Luigi{clr:pop}!{p}{p}{p}You're one lean, green,{p}ghost-catching machine!{p}{p}Nice work. Sit tight and I'll{p}bring you back.{/tp}
3B754A0    The Toad curators brought a{p}security-camera image back{p}with them.{p}Maybe it'll give us some clues about{p}the next Dark Moon piece.
3D10C00    {tp:0.01}Recover a gear in the Lab.{/tp}
3D10C01    {tp:0.01}Recover a gear in the Parlor.{/tp}
3D10C02    {tp:0.01}Recover a gear in the Studio.{/tp}
