app_common.dat
msg_common_big_18_keywait	[~ 0]
msg_common_big_23_keywait	[~ 1]
msg_common_06_big	[~ 2]
msg_common_08_big	[~ 3]
msg_common_10_big	[~ 4]
msg_common_15_01_big	[~ 5]
msg_common_15_04_big	[~ 6]
msg_common_18_01_big	[~ 7]
msg_common_18_02_big	[~ 8]
msg_common_18_03_big	[~ 9]
msg_common_18_07_big	[~ 10]
msg_common_18_10_big	[~ 11]
msg_common_23_02_big	[~ 12]
msg_common_01	[~ 13]
msg_common_02	[~ 14]
msg_common_03	[~ 15]
msg_common_04	[~ 16]
msg_common_05	[~ 17]
msg_common_06	[~ 18]
msg_common_07	[~ 19]
msg_common_08	[~ 20]
msg_common_09	[~ 21]
msg_common_10	[~ 22]
msg_common_11	[~ 23]
msg_common_12	[~ 24]
msg_common_13	[~ 25]
msg_common_14	[~ 26]
msg_common_15	[~ 27]
msg_common_16	[~ 28]
msg_common_18	[~ 29]
msg_common_18_02	[~ 30]
msg_common_18_03	[~ 31]
msg_common_18_04	[~ 32]
msg_common_18_05	[~ 33]
msg_common_18_10	[~ 34]
msg_common_20	[~ 35]
msg_common_21_03	[~ 36]
msg_common_24	[~ 37]
msg_common_03_small	[~ 38]
msg_common_04_small	[~ 39]
msg_common_05_small	[~ 40]
msg_common_06_small	[~ 41]
msg_common_08_small	[~ 42]
msg_common_10_small	[~ 43]
msg_common_12_small	[~ 44]
msg_common_14_small	[~ 45]
msg_common_16_small	[~ 46]
msg_common_16_07_small	[~ 47]
msg_common_16_08_small	[~ 48]
msg_common_18_small	[~ 49]
msg_common_18_02_small	[~ 50]
msg_common_18_05_small	[~ 51]
msg_common_22_small	[~ 52]
msg_common_44_small	[~ 53]
msg_common_S_01	[~ 54]
msg_common_S_02	[~ 55]
msg_common_S_03	[~ 56]
msg_common_S_05	[~ 57]
msg_common_S_06	[~ 58]
msg_common_S_07	[~ 59]
msg_common_S_09	[~ 60]
msg_common_S_10	[~ 61]
msg_common_S_19	[~ 62]
msg_common_S_01_small	[~ 63]
msg_common_S_02_small	[~ 64]
msg_common_S_03_small	[~ 65]
msg_common_S_05_small	[~ 66]
msg_common_S_06_small	[~ 67]
msg_common_S_07_small	[~ 68]
msg_common_S_09_small	[~ 69]
msg_common_S_10_small	[~ 70]
msg_common_S_19_small	[~ 71]
msg_common_lv	[~ 72]
bag_pocket.dat
str_pocketname_000	包包
str_pocketname_002	回复口袋
str_pocketname_003	招式学习器盒
str_pocketname_004	糖果罐
str_pocketname_005	强化口袋
str_pocketname_007	捕捉口袋
str_pocketname_008	对战口袋
bag.dat
msg_bag_01_01	[VAR 0102(0000)]
msg_bag_01_02	[VAR 0102(0000)]
msg_bag_01_03	[VAR 0109(0000)]
msg_bag_01_04	[VAR 0107(0000)]
msg_bag_01_05	Lv.[VAR 0202(0000)]
msg_bag_01_06	[VAR 0202(0000)]/[VAR 0202(0001)]
msg_bag_01_07	[VAR 0201(0000)]
msg_bag_01_08	/
msg_bag_01_09	[VAR 0202(0000)]
msg_bag_01_10	[VAR 0109(0000)]
msg_bag_01_11	[VAR 0112(0000)]
msg_bag_01_12	1P
msg_bag_01_13	2P
msg_bag_01_15	No.[VAR 0201(0000)]
msg_bag_01_20	×[VAR 0202(0000)]
msg_bag_01_24	[VAR 0202(0000)]
msg_bag_01_30	×
msg_bag_01_26	[VAR FF00(0002)]× [VAR 0202(0000)][VAR FF00(0000)]
msg_bag_01_29	[VAR FF00(0001)]× [VAR 0202(0000)][VAR FF00(0000)]
msg_bag_01_27	要卖多少？
msg_bag_01_28	要买多少？
msg_bag_01_21	＋[VAR 0201(0000)]
msg_bag_01_22	[VAR 0202(0000)]
msg_bag_01_23	[VAR 0202(0000)]
