TextDatabase_AC1
AC1_Graphic_text_00237	Another Code
AC1_Graphic_text_00238	Another Code:R
AC1_Graphic_text_00239	Vintage Clothes!
AC1_Graphic_text_00241	Happy Birthday\nAshley
AC1_Graphic_text_00242	DAS Notification\nNow\nRecognized the ANOTHER key.\n
AC1_Graphic_text_00243	Wells's Diary
AC1_Graphic_text_00244	11.13.17.1.2.4.6.7.9.18.20.25
AC1_Graphic_text_00245	？
AC1_Graphic_text_00246	Français (France)
AC1_Graphic_text_00247	Français (Canada)
AC1_Graphic_text_00248	Español (España)
AC1_Graphic_text_00249	Español (Lat. Am.)
AC1_Graphic_text_00250	R
AC1_Graphic_text_00251	Thanks for playing
AC1_Graphic_text_00252	¡Gracias por jugar!
AC1_Graphic_text_00253	Merci d'avoir joué !
AC1_Graphic_text_00254	Grazie di aver giocato!
AC1_Graphic_text_00255	Danke fürs Spielen!
AC1_Graphic_text_00256	Thank you for playing
AC1_Graphic_text_00257	B.E.
AC1_Item_flavor_00138	DAS
AC1_Item_flavor_00139	寄给我的神奇机器。\n上面有很多操作按钮的图标，\n就像游戏机一样。
AC1_Item_flavor_00248	爸爸寄给我的神奇机器。\n长得很像游戏机，\n但它很特殊，似乎只有我能使用。
AC1_Item_flavor_00140	附钥匙圈的钥匙
AC1_Item_flavor_00141	钥匙上挂着一对亲子熊钥匙圈，\n还带着一个小小的铃铛，\n晃一下会发出悦耳的铃声。
AC1_Item_flavor_00142	洁西卡的眼镜
AC1_Item_flavor_00143	洁西卡爱戴的眼镜。\n掉在屋子大门前了，\n还好没有摔坏，让我稍微松了一口气。
AC1_Item_flavor_00232	长木板
AC1_Item_flavor_00233	被丢在森林路边的长木板，\n看上去十分牢固，\n就算人踩上去应该也不会坏。
AC1_Item_flavor_00234	双叶石块
AC1_Item_flavor_00235	雕着双叶纹样的石块，\n是在坟场一角的坟墓前捡到的。
AC1_Item_flavor_00236	四叶石块
AC1_Item_flavor_00237	雕着四叶纹样的石块，\n是在坟场的工具柜里找到的。
AC1_Item_flavor_00242	不能在这里用。
AC1_Item_flavor_00243	现在不能用。
AC1_Item_flavor_00244	现在不能用。
AC1_Part_00001	わあ…
AC1_Part_00002	もう！
AC1_Part_00003	うう…
AC1_Part_00004	うーん…？
AC1_Part_00005	そうだ！
AC1_Part_00006	え…？
AC1_Part_00007	うう…
AC1_Part_00008	すっごい！
AC1_Part_00009	すごい…
AC1_Part_00010	あのね！
AC1_Part_00011	ねえ！
AC1_Part_00013	あのね
AC1_Part_00014	ねえ！
AC1_Part_00015	あ、あの…
AC1_Part_00016	ねえねえ！
AC1_Part_00017	ちょっと！
AC1_Part_00018	ねえ…
AC1_Part_00019	ねえ
AC1_Part_00020	ね…ねえ…
AC1_Part_00021	ちょっといい…！？
AC1_Part_00023	ちょっといい？
AC1_Part_00028	どういうこと？
AC1_Part_00035	ってことは
AC1_Part_00037	それじゃあ…
AC1_Part_00038	ってことは
AC1_Part_00039	つまり…？
AC1_Part_00042	そ！
AC1_Part_00044	そう…
AC1_Part_00045	そう
AC1_Part_00046	そっか！
AC1_Part_00047	そうだね！
AC1_Part_00048	そうだ！
AC1_Part_00049	そうだよ…
AC1_Part_00050	そうだね
AC1_Part_00051	そうなの？
AC1_Part_00052	そうだよ！
AC1_Part_00055	うん！
AC1_Part_00056	うん！
AC1_Part_00057	うん…
AC1_Part_00058	うん
AC1_Part_00059	…うん？
AC1_Part_00060	う、うん…
AC1_Part_00068	わかった！
AC1_Part_00069	わかったよ！
AC1_Part_00071	わかった
AC1_Part_00074	もちろん！
AC1_Part_00077	でもさ！
AC1_Part_00079	でも…
AC1_Part_00080	でも
AC1_Part_00081	でも…！
AC1_Part_00083	ううん
AC1_Part_00084	…ううん
AC1_Part_00085	ううん…
AC1_Part_00086	ううん
AC1_Part_00087	う、ううん…
AC1_Part_00088	ちがうよ
AC1_Part_00090	ちがう…
AC1_Part_00091	ちがう
AC1_Part_00109	はー！
AC1_Part_00110	ふー！
AC1_Part_00111	はあ…
AC1_Part_00112	ふう
AC1_Part_00113	ふーむ？
AC1_Part_00114	はー…
AC1_Part_00115	そういえば！
AC1_Part_00117	そういえば…
AC1_Part_00118	そういえば
AC1_Part_00120	そ、そういえば…
AC1_Part_00124	たしか…
AC1_Part_00125	えと、たしか…？
AC1_Part_00129	もしかして…！
AC1_Part_00131	もしかして…
AC1_Part_00132	もしかして…
AC1_Part_00133	もしかして！
AC1_Part_00135	まさか…
AC1_Part_00136	やっぱり！
AC1_Part_00137	やっぱり…！
AC1_Part_00138	やっぱり…
AC1_Part_00139	やっぱり
AC1_Part_00142	そっか！
AC1_Part_00143	…そうだ
AC1_Part_00144	そう…
AC1_Part_00145	そうか
AC1_Part_00146	そうかも？
AC1_Part_00147	そうか！
AC1_Part_00149	も、もしかして…
AC1_Part_00150	あれ？
AC1_Part_00151	…あれ？
AC1_Part_00152	あ、あれ…？
AC1_Part_00154	いまのは…
AC1_Part_00156	わぁ！
AC1_Part_00157	うわっ
AC1_Part_00158	え…
AC1_Part_00159	わっ
AC1_Part_00160	え！？
AC1_Part_00161	あ！
AC1_Part_00162	ええっ！？
AC1_Part_00163	きゃっ
AC1_Part_00164	ここ！
AC1_Part_00166	ここ…
AC1_Part_00167	ここ
AC1_Part_00168	ここ？
AC1_Part_00169	ここだ！
AC1_Part_00170	ここ…？
AC1_Part_00171	ここ…
AC1_Part_00183	あそこ
AC1_Part_00188	これは！
AC1_Part_00189	これは…！
AC1_Part_00190	これ…
AC1_Part_00191	これは…
AC1_Part_00192	これは…？
AC1_Part_00193	これだ！
AC1_Part_00194	これって…？
AC1_Part_00204	あれは！
AC1_Part_00206	あれ…
AC1_Part_00207	あれは…
AC1_Part_00208	あれは…？
AC1_Part_00210	あれって…？
AC1_Part_00212	へーっ！
AC1_Part_00213	へえ
AC1_Part_00214	ふむ…？
AC1_Part_00215	さあ！
AC1_Part_00217	おねがい…
AC1_Part_00219	ほら！
AC1_Part_00220	ほら！
AC1_Part_00222	ほら
AC1_Part_00233	信じられない！
AC1_Part_00235	うそ…
AC1_Part_00237	あはは！
AC1_Part_00238	あ…はは…
AC1_Part_00239	ふふっ
AC1_Part_00240	やった！
AC1_Part_00241	できた…
AC1_Part_00242	よし！
AC1_Part_00245	やったね！
AC1_Part_00250	うー、もう！
AC1_Part_00251	そんなあ…
AC1_Part_00252	あーあ
AC1_Part_00254	えへへ
AC1_Part_00256	えへへ
AC1_Part_00257	え、えへへ
AC1_Part_00258	そうだ！
AC1_Part_00259	そうだ
AC1_Part_00261	えーっと
AC1_Part_00262	えーっと？
AC1_Part_00263	え、ええっと
AC1_Part_00264	ありがとっ！
AC1_Part_00267	ありがとう
AC1_Part_00268	ごめん！
AC1_Part_00271	ごめん
AC1_Part_00272	ご、ごめん…
AC1_Part_00280	あと少しなのに…
AC1_Part_00289	いい感じ！
AC1_Part_00293	えー
AC1_Part_00296	ええ…？
AC1_Part_00303	うーん
AC1_Part_00304	うーん？
AC1_Part_00305	う、うーん…
AC1_Part_00308	だれ？
AC1_Part_00309	だれだろ…？
AC1_Part_00316	どこだろ…？
AC1_Part_00320	なに？
AC1_Part_00321	なんだろ…？
AC1_Part_00326	なんで？
AC1_Part_00327	なんでだろ…？
AC1_Part_00329	どうしよっかな！
AC1_Part_00331	どうしよう…
AC1_Part_00332	どうしようかな
AC1_Part_00334	いったい…？
AC1_Part_00335	どうしたらいいの…？
AC1_Part_00339	どうしたの？
AC1_Part_00345	なんだろ
AC1_Part_00346	なんだろう…？
AC1_Part_00347	なにこれ…？
AC1_Part_00349	ディー！
AC1_Part_00350	ディー！
AC1_Part_00351	ディー…
AC1_Part_00352	ディー
AC1_Part_00353	ディー？
AC1_Part_00354	…ディー！
AC1_Part_00355	ディー…？
AC1_Part_00356	ディー…
AC1_Part_00357	ジェシカ！
AC1_Part_00358	ジェシカ！
AC1_Part_00359	ジェシカ…
AC1_Part_00360	ジェシカ
AC1_Part_00361	ジェシカ？
AC1_Part_00362	…ジェシカ！
AC1_Part_00363	ジェシカ…？
AC1_Part_00364	ジェシカ…
AC1_Part_00365	パパ！
AC1_Part_00366	パパ！
AC1_Part_00367	パパ…
AC1_Part_00368	パパ
AC1_Part_00369	パパ？
AC1_Part_00370	…パパ！
AC1_Part_00371	パパ…？
AC1_Part_00372	パパ…
AC1_Part_00373	ママ！
AC1_Part_00374	ママ！
AC1_Part_00375	ママ…
AC1_Part_00376	ママ
AC1_Part_00377	ママ？
AC1_Part_00378	…ママ！
AC1_Part_00379	ママ…？
AC1_Part_00380	ママ…
AC1_Part_00381	ビル！
AC1_Part_00382	ビル！
AC1_Part_00383	ビル…
AC1_Part_00384	ビル
AC1_Part_00385	ビル？
AC1_Part_00386	…ビル！
AC1_Part_00387	ビル…？
AC1_Part_00388	ビル…
AC1_Part_00389	船長！
AC1_Part_00390	船長！
AC1_Part_00391	船長…
AC1_Part_00392	船長
AC1_Part_00393	船長？
AC1_Part_00394	…船長！
AC1_Part_00395	船長…？
AC1_Part_00396	船長…
AC1_Part_00397	フラニー！
AC1_Part_00398	フラニー！
AC1_Part_00399	フラニー…
AC1_Part_00400	フラニー
AC1_Part_00401	フラニー？
AC1_Part_00402	…フラニー！
AC1_Part_00403	フラニー…？
AC1_Part_00404	フラニー…
AC1_Part_00405	ヘンリー！
AC1_Part_00406	ヘンリー！
AC1_Part_00407	ヘンリー…
AC1_Part_00408	ヘンリー
AC1_Part_00409	ヘンリー？
AC1_Part_00410	…ヘンリー！
AC1_Part_00411	ヘンリー…？
AC1_Part_00412	ヘンリー…
AC1_Part_00413	トーマス！
AC1_Part_00414	トーマス！
AC1_Part_00415	トーマス…
AC1_Part_00416	トーマス
AC1_Part_00417	トーマス？
AC1_Part_00418	…トーマス！
AC1_Part_00419	トーマス…？
AC1_Part_00420	トーマス…
AC1_Part_00421	ローレンス！
AC1_Part_00422	ローレンス！
AC1_Part_00423	ローレンス…
AC1_Part_00424	ローレンス
AC1_Part_00425	ローレンス？
AC1_Part_00426	…ローレンス！
AC1_Part_00427	ローレンス…？
AC1_Part_00428	ローレンス…
AC1_Part_00429	ウェルズ！
AC1_Part_00430	ウェルズ！
AC1_Part_00431	ウェルズ…
AC1_Part_00432	ウェルズ
AC1_Part_00433	ウェルズ？
AC1_Part_00434	…ウェルズ！
AC1_Part_00435	ウェルズ…？
AC1_Part_00436	ウェルズ…
AC1_Part_00437	（ん？　と鼻に抜けるような）
AC1_Part_00438	（はっと驚くような）
AC1_Part_00439	（息をのむ）
AC1_Part_00440	よいしょ
AC1_Part_00441	んーっ！
AC1_Part_00444	んん！
AC1_Part_00445	いくよ…
AC1_Part_01970	あっ
AC1_Part_01971	なるほど
AC1_Part_01972	きっと
AC1_Part_01973	きっと…
AC1_Part_01974	おっと
AC1_Part_01975	いけない
AC1_Part_00448	わあ…
AC1_Part_00449	だめだよ…
AC1_Part_00450	そう…
AC1_Part_00451	なに？
AC1_Part_00452	…そうだ
AC1_Part_00453	どうして…
AC1_Part_00454	い、いやだ…
AC1_Part_00455	あぁ…
AC1_Part_00457	あのね…
AC1_Part_00459	あのね
AC1_Part_00460	ねえ！
AC1_Part_00463	ねえねえ
AC1_Part_00465	ねえ
AC1_Part_00486	そう
AC1_Part_00491	そうだ
AC1_Part_00492	そうだね
AC1_Part_00494	きっとそうだ！
AC1_Part_00496	うん
AC1_Part_00497	うん…
AC1_Part_00498	うん
AC1_Part_00499	…？
AC1_Part_00500	う…うん
AC1_Part_00501	…うん
AC1_Part_00509	わかった
AC1_Part_00518	でも…
AC1_Part_00519	でも
AC1_Part_00521	でも…
AC1_Part_00523	ううん…
AC1_Part_00524	ううん
AC1_Part_00544	…はぁ
AC1_Part_00547	そういえばね
AC1_Part_00548	そういえば…
