Text/archive_MES
ARC_CHARA_PL0000_001	瑟蕾莎
ARC_CHARA_PL1100_001	小柴貓
ARC_CHARA_BA0100_001	摩根娜
ARC_CHARA_EM0200_001	白狼
ARC_CHARA_EM1100_001	夢中少年
ARC_CHARA_EM1100_002	萊卡翁
ARC_CHARA_EM0050_001	神秘妖精
ARC_CHARA_EM0050_002	普卡
ARC_CHARA_PL0100_001	羅莎
ARC_CHARA_PL0050_001	貞德
ARC_CHARA_BAFB10_001	柯爾姆
ARC_CHARA_BAFB14_001	了解森林之人
ARC_CHARA_BAFB14_002	伊古妮絲
ARC_CHARA_INFO_PL0000_001	美麗的璞玉
ARC_CHARA_INFO_PL1100_001	視力量為一切的惡魔
ARC_CHARA_INFO_BA0100_001	教導瑟蕾莎的嚴厲老師
ARC_CHARA_INFO_EM0200_001	銀白引導者
ARC_CHARA_INFO_EM1100_001	誘導瑟蕾莎的少年
ARC_CHARA_INFO_EM1100_002	誘導瑟蕾莎的少年
ARC_CHARA_INFO_EM0050_001	使喚妖精的神秘黑影
ARC_CHARA_INFO_EM0050_002	自稱妖精王的可疑人物
ARC_CHARA_INFO_PL0100_001	溫柔強大的瑟蕾莎母親
ARC_CHARA_INFO_PL0050_001	瑟蕾莎的兒時玩伴
ARC_CHARA_INFO_BAFB10_001	人魂少年
ARC_CHARA_INFO_BAFB14_001	從林間傳來的聲音
ARC_CHARA_INFO_BAFB14_002	森林的嚮導
ARC_CHARA_EM0000_000	巴拿拿庫
ARC_CHARA_EM0000_001	弗摩爾
ARC_CHARA_EM0000_002	潘恩
ARC_CHARA_EM0000_003	斯帕柯納
ARC_CHARA_EM0000_004	歌革瑪各
ARC_CHARA_EM0000_005	莫爾西伯
ARC_CHARA_EM0000_007	弗摩爾
ARC_CHARA_EM0010_000	伊斯錫
ARC_CHARA_EM0010_001	伊斯錫
ARC_CHARA_EM0010_002	波奇
ARC_CHARA_EM0010_003	班西恩：P型
ARC_CHARA_EM0010_004	史普利根
ARC_CHARA_EM0010_005	巴格斯特
ARC_CHARA_EM0010_006	沙拉曼達
ARC_CHARA_EM0010_007	加肯那
ARC_CHARA_EM0010_008	儒威爾格
ARC_CHARA_EM0010_009	拉布列康
ARC_CHARA_EM0010_010	伊斯錫
ARC_CHARA_EM0010_011	波奇
ARC_CHARA_EM0010_013	諾卡
ARC_CHARA_EM0010_014	阿瑪丹
ARC_CHARA_EM0015_000	皮克希
ARC_CHARA_EM0050_000	普卡
ARC_CHARA_EM0100_000	親和
ARC_CHARA_EM0120_000	梅羅
ARC_CHARA_EM0150_000	賈巴沃克
ARC_CHARA_EM0300_000	阿瑪丹‧杜布
ARC_CHARA_EM1000_000	王之繼承者　萊卡翁
ARC_CHARA_EM1100_000	萊卡翁
ARC_CHARA_EM2000_000	摩根娜
ARC_CHARA_EM2010_000	雷克斯‧塔尼奧尼斯
ARC_CHARA_EM2020_000	侵略魔境者
ARC_ENEMY_INFO_EM0000_000	長槍獵人
ARC_ENEMY_INFO_EM0000_001	盾牌門衛
ARC_ENEMY_INFO_EM0000_002	死亡監視者
ARC_ENEMY_INFO_EM0000_003	殘酷妖術士
ARC_ENEMY_INFO_EM0000_004	妖精騎士
ARC_ENEMY_INFO_EM0000_005	石焰狂戰士
ARC_ENEMY_INFO_EM0010_000	森林居民
ARC_ENEMY_INFO_EM0010_001	森林居民
ARC_ENEMY_INFO_EM0010_002	胡鬧炮手
ARC_ENEMY_INFO_EM0010_003	半死兵器
ARC_ENEMY_INFO_EM0010_004	正經守衛
ARC_ENEMY_INFO_EM0010_005	亡靈妖精
ARC_ENEMY_INFO_EM0010_006	淘氣火焰術士
ARC_ENEMY_INFO_EM0010_007	新手魔術士
ARC_ENEMY_INFO_EM0010_008	精銳戰士
ARC_ENEMY_INFO_EM0010_009	整人陷阱師
ARC_ENEMY_INFO_EM0010_010	潛伏草叢者
ARC_ENEMY_INFO_EM0010_011	惑亂炮手
ARC_ENEMY_INFO_EM0010_013	挖洞工兵
ARC_ENEMY_INFO_EM0010_014	見習小丑
ARC_ENEMY_INFO_EM0015_000	徬徨狙擊手
ARC_ENEMY_INFO_EM0100_000	普卡的殺手鐧
ARC_ENEMY_INFO_EM0120_000	冷漠刺客
ARC_ENEMY_INFO_EM0150_000	暴食妖精龍
ARC_ENEMY_INFO_EM0300_000	人魂技藝的專家
ARC_ENEMY_INFO_EM1000_000	下任妖精王
ARC_ENEMY_INFO_EM1100_000	下任妖精王
ARC_ENEMY_INFO_EM2000_000	無情孤高的魔女
ARC_ENEMY_INFO_EM2010_000	憤怒的魔獸
ARC_ENEMY_INFO_EM2020_000	魔裝舞蹈
ARC_HITODAMA_0001	毛蘚蘚
ARC_HITODAMA_0002	釘釘
ARC_HITODAMA_0003	齒輪仔
ARC_HITODAMA_0004	栓栓頓
ARC_HITODAMA_0005	扣扣
ARC_HITODAMA_0006	大頭針
ARC_HITODAMA_0007	敲碎碎
ARC_HITODAMA_0008	漢賓羅
ARC_HITODAMA_0009	影后
ARC_HITODAMA_0010	釘釘眼
ARC_HITODAMA_0011	圓圓
ARC_HITODAMA_0012	紙箱仔
ARC_HITODAMA_0013	燭娃娃
ARC_HITODAMA_0014	趣小子
ARC_HITODAMA_0015	綠綠
ARC_HITODAMA_0016	魚鉤鉤
ARC_HITODAMA_0017	魚骨仔
ARC_HITODAMA_0018	膠帶仔
ARC_HITODAMA_0019	大釘釘
ARC_HITODAMA_0020	鐵頭
ARC_HITODAMA_0021	頂尖紳士
ARC_HITODAMA_0022	鋸鋸牙
ARC_HITODAMA_0023	諾蘭
ARC_HITODAMA_0024	大鼻子
ARC_HITODAMA_0025	龐克小子
ARC_HITODAMA_0026	環環
ARC_HITODAMA_0027	飛刀靶
ARC_HITODAMA_0028	布魯士
ARC_HITODAMA_0029	辛迪
ARC_HITODAMA_0030	焦炭仔
ARC_HITODAMA_0031	芽芽
ARC_HITODAMA_0032	皮帶頭
ARC_HITODAMA_0033	針針
ARC_HITODAMA_0034	鋼絲寶
ARC_HITODAMA_0035	剪剪
