Text/archive
ARC_ARCHIVE_TXT_01	在故事中登场的人物。
ARC_ARCHIVE_TXT_02	瑟蕾莎面对的敌人。
ARC_ARCHIVE_TXT_03	在森林中捡到的笔记，不知道主人是谁。
ARC_ARCHIVE_TXT_04	在森林中留下的回忆。
ARC_ARCHIVE_TXT_05	在森林中结识并交好的人魂。
ARC_CH_TXT_PL0000_0000	父亲是光之一族的“流明贤者”，\n母亲是暗之一族的“暗影魔女”，\n两人结合生下的美丽少女。\n\n贤者与魔女两族都严禁贤者与魔女的结合，\n因此瑟蕾莎生来便遭人排斥，\n在族人的冷眼相待中长大。\n\n深爱瑟蕾莎的母亲罗莎被关押在禁狱中，\n无法救出母亲的愧疚感日夜折磨着她。\n不知不觉间，“成为强大的魔女救出母亲”\n成了瑟蕾莎的毕生愿望。\n\n母亲罗莎留下的唯一纪念是一只小猫玩偶，\n瑟蕾莎给它取名“小柴猫”，片刻不离身。\n不知从什么时候开始，它成了瑟蕾莎用来\n排解孤独的宝贵聊天对象。
ARC_CH_TXT_PL0000_0001	生活在阿瓦隆森林旁的魔女摩根娜\n收养了遭人排挤的瑟蕾莎后，\n瑟蕾莎开始和她一起生活，\n并向她学习魔导术。\n瑟蕾莎虽然对魔女技能掌握得很粗糙，\n但她体内蕴含着不可估量的天赋。\n看出这一点的摩根娜要求她进行严格训练。\n\n摩根娜是一位严格却又不失温柔的老师，\n瑟蕾莎从她身上看到了母亲的影子，\n对她十分信赖并努力修行。\n\n一天晚上，瑟蕾莎在梦中少年的话语引导下，\n进入了严禁入内的阿瓦隆森林深处，\n这一行动大大改变了她的命运。\n\n她在森林里躲避邪恶妖精的追赶时，\n竟然将恶魔召唤到了心爱的玩偶之中。\n她以玩偶的名字“小柴猫”为恶魔命名，\n从此展开了一人一恶魔的奇妙之旅。
ARC_CH_TXT_PL0000_0002	刚开始和小柴猫一起行动时，\n瑟蕾莎很不满小柴猫一直把自己当菜鸟对待，\n两人间冲突不断。\n尤其是在小柴猫撕碎妖精变出的母亲罗莎的\n幻影时，瑟蕾莎勃然大怒，丢下小柴猫独自\n离开，不想再见到它。\n\n然而在分开一段时间后，她才真真切切\n意识到自己是多么无力，之前其实一直\n依赖着小柴猫的帮助。经过这次波折，\n瑟蕾莎理解了小柴猫的思维方式和强大\n意志，两人开始交心，情谊日渐深厚。
ARC_CH_TXT_PL0000_0003	在阿瓦隆森林的邂逅与离别，是瑟蕾莎\n无可替代的珍贵回忆，让她在实现梦想\n“成为强大魔女”的路上前进了一大步。\n\n冒险结束后，瑟蕾莎离开了生活多年的\n摩根娜家。立誓总有一天要成为像母亲\n一样伟大的魔女，在月光下踏上了旅途。
ARC_CH_TXT_PL1100_0000	瑟蕾莎在二月的月圆之夜使用召唤术\n召唤到人界的恶魔。\n\n按常理，暗影魔女召唤来的恶魔会附身在\n她们的头发上现身于世，但由于瑟蕾莎的\n法术掌握不精，这只恶魔未能成功附身在\n头发上，于是它转而进入了她随身带着的\n玩偶体内。\n\n恶魔一旦离开召唤者瑟蕾莎的魔力覆盖范围\n便会失去力量，所以必须一直跟在她身边。\n再加上瑟蕾莎答应过恶魔会想办法获取力量\n送它回魔界，而它除了相信瑟蕾莎说的话外\n别无选择，只得不情不愿地和她一起行动。\n\n才刚诞生于魔界不久的恶魔，连名字也没有。\n于是瑟蕾莎决定用玩偶原来的名字“小柴猫”\n来称呼它。
ARC_CH_TXT_PL1100_0001	对自己的力量拥有绝对的自信，\n战斗时会张开大嘴露出满嘴利齿，\n并以磨得锃亮的前爪凶猛地攻击猎物。\n\n喜欢甜食，爱吃炼狱果实、阿瓦隆结晶\n这类东西。\n嗅觉灵敏，能闻出瑟蕾莎偷偷带在身上的\n阿瓦隆结晶的气味，然后偷吃。\n\n本应偏好破坏性举动的恶魔，\n但或许是因为附身在瑟蕾莎珍爱的\n玩偶身上，渐渐对她敞开了心扉。\n\n起初和瑟蕾莎的配合磕磕绊绊，\n对瑟蕾莎与贾巴沃克战斗时丢脸的\n战斗方式非常不满。另外在面对\n妖精以瑟蕾莎最爱的母亲形象制造的\n幻影陷阱时，毫不留情地发动攻击，\n这深深触怒了瑟蕾莎，\n两人一度反目，分道扬镳。
