CommonMsg\CuiMsgWin.msbt
Msg_Network_Error	发生连接错误。
Msg_Wrong_Password_Error	密码错误，\n无法会合。
Msg_Master_Disconnected_Error	和主办者的连接已中断。
Msg_Session_Is_Full_Error	连接目标已满，无法参加。\n请稍后再试。
Msg_Matchmake_Timeout_error	未在指定时间内凑齐所需人数。\n请再试一次。
Msg_Bad_Condition_Error	- 连接已中断 -\n当该错误反复发生时，\n有可能是用户的连接环境不稳定。\n详情请查看Nintendo Switch支持网站。
Msg_No_Memory_Error_00	内存不足。
Msg_Slow_Loading_Error_00	加载时间过长。\n当该错误反复发生时，\n有可能是用户的主机或SD卡发生了故障。\n详情请查看Nintendo Switch支持网站。
Msg_NotifyDayChange	日程已更新。
CommonMsg\Dev.msbt
BugReportContent	――――\n■手順 / Procedures\n1.\n2.\n3.\n\n■結果 / Result\n\n■試行回数 / Number of attempts\nX/X\n\n■備考 / Remarks\n\n――――
CommonMsg\EmoteName.msbt
Win_Weapon03	武器姿势
CommonMsg\Glossary.msbt
IdolA	莎莎
IdolB	曼曼
IdolC	鬼福
Atarime	鱼干
AtarimeHimono	鱼干
Aori	小拟
Hotaru	小萤
Commander	司令
Ichigou	1号
Nigou	2号
Sangou	3号
Hime	小姬
Iida	饭田
Takowasa	DJ芥末章鱼将军
Kumasan	熊先生
RealKumasan	熊先生
KumasanOnlyName	熊先生
Mystery	谜之声
WeaponShop	武器子
Judge	评审
JudgeJr	小评审
GearShopHead	螺螺
GearShopClothes	花笠
GearShopShoes	椰子蟹先生
GoodsShop	脉子
FoodShop	阿龙
Vendor	刺冠
Dolphin	海豚豚
UnknownTalker_00	？？？
SplatsVille	蛮颓镇
Splatlands	蛮颓地区
Crater	荒界
Alternative	幻界
Inkling	鱿鱼族
Octoling	章鱼圈
IdolGroup_03	鱼浆帮
SquidRoll	鱿鱼滚行
SquidSurge	鱿鱼登顶
MiniGameRank	占地斗士等级
Shakespiral	新卷堡
SakelienStandard	鲑鱼
SakelienLarge	大胖鱼
SakelienSmall	小鲑鱼
SakelienGolden	金鲑鱼
SakeFlyBagman	拾蛋鱼
SakelienBomber	炸弹鱼
SakelienCupTwins	垫肩飞鱼
SakelienShield	铁板鱼
SakelienSnake	蛇鱼
SakelienTower	高塔鱼
Sakediver	鼹鼠鱼
Sakedozer	烤架鱼
SakepuncherBulletSimpl	直升机鲑鱼
Sakerocket	蝙蝠鱼
SakePillar	柱鱼
SakeDolphin	潜水鱼
SakelienGiant	横纲
Msn_EnmOctTrooper_01	章鱼兵
Msn_EnmOctTrooper_03	强化章鱼兵
Msn_EnmOctTrooper_13	章鱼弹跳兵
Msn_EnmOctCopter_01	章鱼螺旋桨兵
Msn_EnmOctCopter_03	章鱼镜球兵
Msn_EnmOctPod_01	章鱼弹舱兵
Msn_EnmOctEscape_01	章鱼溜兵
Msn_EnmOctStamp_01	章鱼印章兵
Msn_EnmOctStamp_02	波动章鱼印章兵
Msn_EnmOctSniper_01	章鱼狙击兵
Msn_EnmOctCommander_01	章鱼指挥官
Msn_EnmOctMissile_01	章鱼柏林号
Msn_EnmOctMissile_02	章鱼导弹兵
Msn_EnmOctSoldier_01	章鱼女战士
Msn_EnmOctBaller_01	章鱼保龄球兵
Msn_EnmOctCleaner_01	吸墨器
Msn_EnmOctFlooder_01	章鱼推进洒墨机
Msn_AreaOfAlternative	地域
Msn_ZapfishReplica	电仔
Msn_Archives_01	神秘档案
Msn_WorldObj_03	管线
Msn_WorldObj_05	惊人螺丝
Msn_Item_01	小鱼干
Msn_Item_02	鲑鱼卵
Msn_Item_03	瓶装鲑鱼卵
Msn_Item_04	炸鱿鱼圈
Msn_Item_05	特殊罐头
Msn_Item_07	钥匙
Msn_Item_08	金色唱片
Msn_PowerUpPoint	强化点数
Msn_CheckPoint	关卡点
Msn_JumpPoint	跳跃点
Msn_CourseObj_04	开关
Msn_CourseObj_05	转转开关
Msn_CourseObj_06	炸弹气球
Msn_CourseObj_10	喷泉
Msn_CourseObj_11	吹吹卷
Msn_CourseObj_12	螺旋桨
Msn_CourseObj_13	墨汁轨道
Msn_CourseObj_14	输送轨道
Msn_CourseObj_15	冲刺板
Msn_CourseObj_17	跳跃垫
Msn_CourseObj_18	涂色轮子
Msn_CourseObj_19	蛇方块
Msn_CourseObj_20	踩踏开关
Msn_CourseObj_21	能量核心
Msn_CourseObj_22	螺旋桨踏板
Msn_BreakableObj_08	失败气球
Msn_BreakableObj_09	标靶
Msn_ObstacleObj_02	涂涂棒
Lobby_Obj_02	大厅设备
SDServiceName	鱿鱼圈 3
CommonMsg\PictFontRef.msbt
Tuto_B	{[0301|0000204000000000]}
Tuto_Y	{[0303|0000204000000000]}
Tuto_R	{[030a|0000204000000000]}
Tuto_ZL	{[030b|0000204000000000]}
Tuto_ZR	{[030c|0000204000000000]}
Tuto_LStick	{[0307|0000204000000000]}
Tuto_RStick	{[0308|0000204000000000]}
Tuto_Buddy	{[030f|0000204000000000]}
Tuto_Crosshair	{[0310|0000204000000000]}
Tuto_InkTank	{[0311|0000204000000000]}
Tuto_Squid	{[0312|0000204000000000]}
Tuto_SquidSwim	{[0313|0000204000000000]}
Tuto_Baloon	{[0314|0000204000000000]}
Tuto_Bomb	{[0315|0000204000000000]}
Talk_A	{[0300|0000803f00000000]}
Talk_B	{[0301|0000803f00000000]}
Talk_Y	{[0303|0000803f00000000]}
Talk_R	{[030a|0000803f00000000]}
Talk_ZL	{[030b|0000803f00000000]}
Talk_ZR	{[030c|0000803f00000000]}
Talk_LStick	{[0307|cdcc4c3f00000000]}
Talk_RStick	{[0308|cdcc4c3f00000000]}
Talk_Cross	{[0304|0000803f00000000]}
Talk_CrossU	{[030e|0000803f00000000]}
Talk_Crosshair	{[0310|0000803f00000000]}
Talk_MsnCore	{[0316|0000803f00000000]}
Talk_PowerEgg	{[0317|0000803f00000000]}
Talk_MsnTarget	{[0318|0000803f00000000]}
Talk_MsnBox	{[0319|0000803f00000000]}
Talk_MsnKey	{[031a|0000803f00000000]}
Talk_MsnDoor	{[031b|0000803f00000000]}
Talk_MsnSardinium	{[031f|0000803f00000000]}
Talk_MsnPoweUpPoint	{[0320|0000803f00000000]}
SubSpe_A	{[0300|0000803f00000000]}
SubSpe_B	{[0301|0000803f00000000]}
SubSpe_R	{[030a|0000803f00000000]}
SubSpe_ZR	{[030c|0000803f00000000]}
SubSpe_ZL	{[030b|0000803f00000000]}
Cst_RStick	{[0308|0000004000000000]}
Menu_RStick_00	{[0308|0000004000000000]}
GetWin_X	{[0302|0000803f00000000]}
PlyGuide_R	{[030a|0000604000000000]}
PlyGuide_ZR	{[030c|cdcc4c4000000000]}
PlyGuide_CrossD	{[030d|cdcc4c4000000000]}
LobbyHead_L	{[0309|0000404000000000]}
CommonMsg\UnitName.msbt
Identifier	#{[0201|0010]}
VSTimer	{[0200|00020000]}:{[0200|01020100]}
MsnTimer_MinSec	{[0200|00020200]}:{[0200|01020100]}
MinSec_1Digit	{[0200|00010000]}:{[0200|01020100]}
MsnTimer_MinSecCentsec_00	{[0200|00020200]}:{[0200|01020100]}.{size[3200]}{[0200|02020100]}{size[6400]}
PaintPercent	{[0200|00020000]}.{[0200|01010100]}％
PaintPoint	{[0200|00040000]}p
GachiCount	{[0200|00020000]}{size[4b00]}计数{size[6400]}
GachiPoint	{[0200|00030000]}p
GachiKnockOut	完胜！
PlayerRankExp	{[0200|00060000]}/{[0200|01060000]}
CoopGradeExp	{[0200|00030000]}/{[0200|01030000]}
GearExp	{[0200|00050000]}/{[0200|01050000]}
ScheduleTerm	{[0201|0010]} ～ {[0201|0110]}
MsnStageNo	No.{[0200|00020000]}
CoopDangerLevel	{[0200|00030000]}%
SpecialPoint	{[0200|00030000]}p
CommonMsg\Badge\BadgeMsg.msbt
Mission_Lv00	已击倒DJ芥末章鱼将军
Mission_Lv01	已通关英雄模式
Mission_Lv02	英雄装备的强化点数已达上限
Mission_Lv03	英雄装备的强化点数已达上限
Mission_Lv04	已通关隐藏茶壶
CommonMsg\Byname\BynameAdjective.msbt
0000	温泉花大峡谷的
0001	鳗鲶区的
0002	烟管鱼市场的
0003	竹蛏疏洪道的
0005	鱼肉碎金属的
0008	真鲭跨海大桥的
0011	海女美术大学的
0014	醋饭海洋世界的
0045	新卷堡的
0060	一般比赛的
0061	蛮颓比赛的
0062	私人比赛的
0063	英雄模式的
0064	鲑鱼跑的
0100	墨汁用光的
0101	周末的
0102	万众瞩目的
0103	左撇子的
0104	蛮颓镇的
0105	爱好购物的
0106	普通的
0107	真诚的
0108	超级
0109	有魅力的
0110	永远的
0111	武器店的
0112	头部装备店的
0113	服装店的
0114	鞋店的
0115	杂货店的
0117	实习中的
0118	新手的
0119	半吊子的
0120	独当一面的
0121	熟练的
0122	达人的
0123	传说的
0124	狂潮中的
0125	满潮的
0126	大量出现的
0127	浓雾笼罩下的
0128	干潮的
0129	秋天的
0130	春天的
0131	冬天的
0132	夏天的
0133	快乐的
0134	新潮的
0135	犀利的
0136	时髦的
0137	酷炫的
0138	简约的
0139	传统的
0140	时尚的
0141	自然的
0142	火热的
0143	享受当下的
0144	秋色的
0145	春色的
0146	蛮好看的
0147	就是
0148	缺钱的
0149	富有的
0150	向往成为司令的
0151	想成为英雄的
0152	百发百中的
0154	横冲直撞的
0155	沉着冷静的
0156	静音中的
0157	左右开弓的
0158	站着玩的
0159	直播中的
0160	跪坐中的
0161	右撇子的
0162	沉默寡言的
0163	专业级的
0164	业余的
0165	尚兴广场的
0166	尚兴市的
0167	尚兴的
0168	野生的
0169	都会的
0170	乡村的
0171	贪婪的
0172	流行的
0173	后巷的
0174	夜行性的
0175	期待明天的
0177	爱做梦的
0178	文青系的
0179	肚子饿的
0180	好胜的
0181	临阵磨枪的
0182	适当的
0183	昼行性的
0184	大胆的
0185	大胃王的
0186	运动系的
0187	一大早的
0188	快速射击的
0189	早起的
0191	深海的
0193	睡醒的
0194	岸边的
0195	无拘无束的
0196	过时的
0197	世界第一的
0200	国民的
0201	波涛汹涌的
0202	孤独的
0203	超越极限的
0204	刚强的
0205	有威严的
0206	休假的
0207	久违的
0208	归来的
0209	努力的
0210	爱吃甜食的
0211	海洋的
0212	自成一派的
0213	暑假的
0214	经过加工的
0215	肮脏的
0216	咸的
0217	碰运气的
0219	井底的
0220	横扫千军的
0221	摇滚的
0222	复古的
0224	懒散的
0225	贪得无厌的
0226	调皮的
0227	柔软的
0228	无敌的
0229	肌肉结实的
0230	潮流的
0231	新颖的
0232	马力全开的
0233	活蹦乱跳的
0234	犯人是
0235	工作的
0236	初次的
0237	有潜力的
0238	到处乱涂的
0239	乘风破浪的
0240	时尚风潮的
0241	新鲜的
0242	资讯战的
0243	有秩序的
0244	孤单一人的
0245	多愁善感的
0246	翻滚的
0247	无法待在墨汁里的
0248	瞬间爆发力强的
0249	害羞的
0250	Calamari
0251	混水摸鱼的
0253	起毛的
0254	花枝招展的
0255	优秀的
0256	今天生日的
0257	心血来潮的
0258	危险的
0259	真格的
0260	美味的
0261	终极的
0262	漂浮的
0263	室内的
0264	沾满墨汁的
0265	滴出墨汁的
0266	鱿型的
0267	超鱿型的
0268	常有的
0269	清爽型的
0270	八只脚的
0271	十只脚的
2500	大大吉的
3000	蛮颓的
3001	印度洋的
3002	北大西洋的
3003	北太平洋的
3004	南极海的
3005	北极海的
3006	南大西洋的
3007	南太平洋的
3008	鱿乐天地的
3009	熊先生商会的
3010	荒界的
3011	广场的
3012	大厅的
3013	第三代
3014	混沌的
3015	盛夏的
3100	幻界的
3200	享乐的
3201	最强的
3300	酥脆的
CommonMsg\Byname\BynameSubject.msbt
0000_0	广域标记枪操作者
0000_1	{[0102]}
0001_0	新叶射击枪操作者
0001_1	{[0102]}
0002_0	窄域标记枪操作者
0002_1	{[0102]}
0003_0	专业模型枪操作者
0003_1	{[0102]}
0004_0	斯普拉射击枪操作者
0004_1	{[0102]}
0005_0	.52加仑操作者
0005_1	{[0102]}
0006_0	N-ZAP操作者
0006_1	{[0102]}
0007_0	顶尖射击枪操作者
0007_1	{[0102]}
0008_0	.96加仑操作者
0008_1	{[0102]}
0009_0	喷射清洁枪操作者
0009_1	{[0102]}
0010_0	新星爆破枪操作者
0010_1	{[0102]}
0011_0	火热爆破枪操作者
0011_1	{[0102]}
0012_0	远距爆破枪操作者
0012_1	{[0102]}
0013_0	冲涂爆破枪操作者
0013_1	{[0102]}
0014_0	快速爆破枪操作者
0014_1	{[0102]}
0015_0	快速爆破枪 精英操作者
0015_1	{[0102]}
0016_0	L3卷管枪操作者
0016_1	{[0102]}
0017_0	H3卷管枪操作者
0017_1	{[0102]}
0018_0	开瓶喷泉枪操作者
0018_1	{[0102]}
0019_0	碳纤维滚筒操作者
0019_1	{[0102]}
0020_0	斯普拉滚筒操作者
0020_1	{[0102]}
0021_0	电动马达滚筒操作者
0021_1	{[0102]}
0022_0	可变式滚筒操作者
0022_1	{[0102]}
0023_0	巴勃罗操作者
0023_1	{[0102]}
0024_0	北斋操作者
0024_1	{[0102]}
0025_0	鱿快洁操作者
0025_1	{[0102]}
0026_0	斯普拉蓄力狙击枪操作者
0026_1	{[0102]}
0027_0	公升4K操作者
0027_1	{[0102]}
0028_0	14式竹筒枪操作者
0028_1	{[0102]}
0029_0	高压油管枪操作者
0029_1	{[0102]}
0030_0	飞溅泼桶操作者
0030_1	{[0102]}
0031_0	洗笔桶操作者
0031_1	{[0102]}
0032_0	回旋泼桶操作者
0032_1	{[0102]}
0033_0	满溢泡澡泼桶操作者
0033_1	{[0102]}
0034_0	爆炸泼桶操作者
0034_1	{[0102]}
0035_0	斯普拉旋转枪操作者
0035_1	{[0102]}
0036_0	桶装旋转枪操作者
0036_1	{[0102]}
0037_0	消防栓旋转枪操作者
0037_1	{[0102]}
0038_0	圆珠笔操作者
0038_1	{[0102]}
0039_0	鹦鹉螺号操作者
0039_1	{[0102]}
0040_0	溅镀枪操作者
0040_1	{[0102]}
0041_0	斯普拉机动枪操作者
0041_1	{[0102]}
0042_0	开尔文525操作者
0042_1	{[0102]}
0043_0	双重清洁枪操作者
0043_1	{[0102]}
0044_0	四重弹跳手枪操作者
0044_1	{[0102]}
0045_0	遮阳防空伞操作者
0045_1	{[0102]}
0046_0	露营防空伞操作者
0046_1	{[0102]}
0047_0	特工配件操作者
0047_1	{[0102]}
0048_0	三发猎鱼弓操作者
0048_1	{[0102]}
0049_0	工作刮水刀操作者
0049_1	{[0102]}
0050_0	LACT-450操作者
0050_1	{[0102]}
0052_0	斯普拉准星枪操作者
0052_1	{[0102]}
0053_0	4K准星枪操作者
0053_1	{[0102]}
0100_0	斯普拉炸弹操作者
0100_1	{[0102]}
0101_0	吸盘炸弹操作者
0101_1	{[0102]}
0102_0	快速炸弹操作者
0102_1	{[0102]}
0103_0	冰壶炸弹操作者
0103_1	{[0102]}
0104_0	机器人炸弹操作者
0104_1	{[0102]}
0105_0	墨汁陷阱操作者
