CommonMsg\CuiMsgWin.msbt
Msg_Network_Error	通信エラーが発生しました
Msg_Wrong_Password_Error	パスワードが間違っているため\n合流できません
Msg_Master_Disconnected_Error	親との通信が切れました
Msg_Session_Is_Full_Error	接続先が満員のため、参加できませんでした\nしばらく待って、やりなおしてください
Msg_Matchmake_Timeout_error	時間内に人数が集まりませんでした\nもう一度 お試しください
Msg_Bad_Condition_Error	- 通信が切断されました -\nこのエラーが何度も発生するときは、お客さまの\n通信環境が 不安定になっている可能性があります\nくわしくは Nintendo Switchサポートサイトをご覧ください
Msg_No_Memory_Error_00	メモリが不足しています
Msg_Slow_Loading_Error_00	ロードに時間がかかりすぎています\nこのエラーが何度も発生するときは、お客さまの\n本体またはSDカードが故障している可能性があります\nくわしくは Nintendo Switchサポートサイトをご覧ください
Msg_NotifyDayChange	スケジュールが更新されました
CommonMsg\Dev.msbt
BugReportContent	――――\n■手順 / Procedures\n1.\n2.\n3.\n\n■結果 / Result\n\n■試行回数 / Number of attempts\nX/X\n\n■備考 / Remarks\n\n――――
CommonMsg\EmoteName.msbt
Win_Weapon03	ブキポーズ
CommonMsg\Glossary.msbt
IdolA	フウカ
IdolB	ウツホ
IdolC	マンタロー
Atarime	アタリメ
AtarimeHimono	アタリメ
Aori	アオリ
Hotaru	ホタル
Commander	司令
Ichigou	１号
Nigou	２号
Sangou	３号
Hime	ヒメ
Iida	イイダ
Takowasa	DJタコワサ将軍
Kumasan	クマサン
RealKumasan	クマサン
KumasanOnlyName	クマサン
Mystery	ナゾの声
WeaponShop	ブキチ
Judge	ジャッジ
JudgeJr	コジャッジ
GearShopHead	オームラ
GearShopClothes	ハナガサ
GearShopShoes	ヤシガニさん
GoodsShop	パル子
FoodShop	ロブ
Vendor	スパイキー
Dolphin	イルカ
UnknownTalker_00	？？？
SplatsVille	バンカラ街
Splatlands	バンカラ地方
Crater	クレーター
Alternative	オルタナ
Inkling	インクリング
Octoling	オクトリング
IdolGroup_03	すりみ連合
SquidRoll	イカロール
SquidSurge	イカノボリ
MiniGameRank	ナワバトランク
Shakespiral	アラマキ砦
SakelienStandard	シャケ
SakelienLarge	ドスコイ
SakelienSmall	コジャケ
SakelienGolden	キンシャケ
SakeFlyBagman	タマヒロイ
SakelienBomber	バクダン
SakelienCupTwins	カタパッド
SakelienShield	テッパン
SakelienSnake	ヘビ
SakelienTower	タワー
Sakediver	モグラ
Sakedozer	グリル
SakepuncherBulletSimpl	シャケコプター
Sakerocket	コウモリ
SakePillar	ハシラ
SakeDolphin	ダイバー
SakelienGiant	ヨコヅナ
Msn_EnmOctTrooper_01	タコトルーパー
Msn_EnmOctTrooper_03	バイタコトルーパー
Msn_EnmOctTrooper_13	タコホッパー
Msn_EnmOctCopter_01	タコプター
Msn_EnmOctCopter_03	タコミラーボール
Msn_EnmOctPod_01	タコポッド
Msn_EnmOctEscape_01	スタコラー
Msn_EnmOctStamp_01	タコスタンプ
Msn_EnmOctStamp_02	ビートタコスタンプ
Msn_EnmOctSniper_01	タコスナイパー
Msn_EnmOctCommander_01	タココマンダー
Msn_EnmOctMissile_01	タコッペリン号
Msn_EnmOctMissile_02	タコミサイル
Msn_EnmOctSoldier_01	タコゾネス
Msn_EnmOctBaller_01	タコストライク
Msn_EnmOctCleaner_01	インクリーナー
Msn_EnmOctFlooder_01	タコドーザー
Msn_AreaOfAlternative	サイト
Msn_ZapfishReplica	でんちゃん
Msn_Archives_01	ミステリーファイル
Msn_WorldObj_03	パイプライン
Msn_WorldObj_05	びっくりネジ
Msn_Item_01	イリコニウム
Msn_Item_02	イクラ
Msn_Item_03	ビンイクラ
Msn_Item_04	イカフライ
Msn_Item_05	スペシャルカンヅメ
Msn_Item_07	カギ
Msn_Item_08	ゴールドディスク
Msn_PowerUpPoint	強化ポイント
Msn_CheckPoint	チェックポイント
Msn_JumpPoint	ジャンプポイント
Msn_CourseObj_04	スイッチ
Msn_CourseObj_05	でんでんスイッチ
Msn_CourseObj_06	ボム風船
Msn_CourseObj_10	カンケツセン
Msn_CourseObj_11	ピロピロ
Msn_CourseObj_12	プロペラ
Msn_CourseObj_13	インクレール
Msn_CourseObj_14	ライドレール
Msn_CourseObj_15	ダッシュ板
Msn_CourseObj_17	ジャンプマット
Msn_CourseObj_18	ヌリホイール
Msn_CourseObj_19	ヘビブロック
Msn_CourseObj_20	ふみスイッチ
Msn_CourseObj_21	エネルギーコア
Msn_CourseObj_22	プロペラリフト
Msn_BreakableObj_08	ダメ風船
Msn_BreakableObj_09	マト
Msn_ObstacleObj_02	ヌリヌリ棒
Lobby_Obj_02	ロビー端末
SDServiceName	イカリング３
CommonMsg\PictFontRef.msbt
Tuto_B	{[0301|0000204000000000]}
Tuto_Y	{[0303|0000204000000000]}
Tuto_R	{[030a|0000204000000000]}
Tuto_ZL	{[030b|0000204000000000]}
Tuto_ZR	{[030c|0000204000000000]}
Tuto_LStick	{[0307|0000204000000000]}
Tuto_RStick	{[0308|0000204000000000]}
Tuto_Buddy	{[030f|0000204000000000]}
Tuto_Crosshair	{[0310|0000204000000000]}
Tuto_InkTank	{[0311|0000204000000000]}
Tuto_Squid	{[0312|0000204000000000]}
Tuto_SquidSwim	{[0313|0000204000000000]}
Tuto_Baloon	{[0314|0000204000000000]}
Tuto_Bomb	{[0315|0000204000000000]}
Talk_A	{[0300|0000803f00000000]}
Talk_B	{[0301|0000803f00000000]}
Talk_Y	{[0303|0000803f00000000]}
Talk_R	{[030a|0000803f00000000]}
Talk_ZL	{[030b|0000803f00000000]}
Talk_ZR	{[030c|0000803f00000000]}
Talk_LStick	{[0307|cdcc4c3f00000000]}
Talk_RStick	{[0308|cdcc4c3f00000000]}
Talk_Cross	{[0304|0000803f00000000]}
Talk_CrossU	{[030e|0000803f00000000]}
Talk_Crosshair	{[0310|0000803f00000000]}
Talk_MsnCore	{[0316|0000803f00000000]}
Talk_PowerEgg	{[0317|0000803f00000000]}
Talk_MsnTarget	{[0318|0000803f00000000]}
Talk_MsnBox	{[0319|0000803f00000000]}
Talk_MsnKey	{[031a|0000803f00000000]}
Talk_MsnDoor	{[031b|0000803f00000000]}
Talk_MsnSardinium	{[031f|0000803f00000000]}
Talk_MsnPoweUpPoint	{[0320|0000803f00000000]}
SubSpe_A	{[0300|0000803f00000000]}
SubSpe_B	{[0301|0000803f00000000]}
SubSpe_R	{[030a|0000803f00000000]}
SubSpe_ZR	{[030c|0000803f00000000]}
SubSpe_ZL	{[030b|0000803f00000000]}
Cst_RStick	{[0308|0000004000000000]}
Menu_RStick_00	{[0308|0000004000000000]}
GetWin_X	{[0302|0000803f00000000]}
PlyGuide_R	{[030a|0000604000000000]}
PlyGuide_ZR	{[030c|cdcc4c4000000000]}
PlyGuide_CrossD	{[030d|cdcc4c4000000000]}
LobbyHead_L	{[0309|0000404000000000]}
CommonMsg\UnitName.msbt
Identifier	#{[0201|0010]}
VSTimer	{[0200|00020000]}:{[0200|01020100]}
MsnTimer_MinSec	{[0200|00020200]}:{[0200|01020100]}
MinSec_1Digit	{[0200|00010000]}:{[0200|01020100]}
MsnTimer_MinSecCentsec_00	{[0200|00020200]}:{[0200|01020100]}.{size[3200]}{[0200|02020100]}{size[6400]}
PaintPercent	{[0200|00020000]}.{[0200|01010100]}％
PaintPoint	{[0200|00040000]}p
GachiCount	{[0200|00020000]}{size[4b00]}カウント{size[6400]}
GachiPoint	{[0200|00030000]}p
GachiKnockOut	ノックアウト！
PlayerRankExp	{[0200|00060000]}/{[0200|01060000]}
CoopGradeExp	{[0200|00030000]}/{[0200|01030000]}
GearExp	{[0200|00050000]}/{[0200|01050000]}
ScheduleTerm	{[0201|0010]} ～ {[0201|0110]}
MsnStageNo	No.{[0200|00020000]}
CoopDangerLevel	{[0200|00030000]}%
SpecialPoint	{[0200|00030000]}p
CommonMsg\Badge\BadgeMsg.msbt
Mission_Lv00	DJタコワサ将軍を倒した
Mission_Lv01	ヒーローモードをクリアした
Mission_Lv02	ヒーローそうびの強化ポイントを最大まで手に入れた
Mission_Lv03	ヒーローそうびの強化ポイントを最大まで手に入れた
Mission_Lv04	かくしヤカンをクリアした
CommonMsg\Byname\BynameAdjective.msbt
0000	ユノハナ{r2[だいけいこく]}大渓谷{/r2}の
0001	ゴンズイ{r2[ちく]}地区{/r2}の
0002	ヤガラ{r2[いちば]}市場{/r2}の
0003	マテガイ{r2[ほうすいろ]}放水路{/r2}の
0005	ナメロウ{r2[きんぞく]}金属{/r2}の
0008	マサバ{r2[かいきょうおおはし]}海峡大橋{/r2}の
0011	{r2[あまびじゅつだいがく]}海女美術大学{/r2}の
0014	スメーシーワールドの
0045	アラマキ{r2[とりで]}砦{/r2}の
0060	レギュラーマッチの
0061	バンカラマッチの
0062	プライベートマッチの
0063	ヒーローモードの
0064	サーモンランの
0100	インク{r2[ぎ]}切{/r2}れの
0101	{r2[しゅうまつ]}週末{/r2}の
0102	{r2[めだ]}目立{/r2}ちたがりな
0103	{r2[ひだりき]}左利{/r2}きの
0104	バンカラ{r2[がい]}街{/r2}の
0105	{r2[か]}買{/r2}い{r2[ものず]}物好{/r2}きの
0106	ふつうの
0107	まことの
0108	スーパー
0109	カリスマ
0110	えいえんの
0111	ブキ{r2[や]}屋{/r2}の
0112	アタマ{r2[や]}屋{/r2}の
0113	フク{r2[や]}屋{/r2}の
0114	クツ{r2[や]}屋{/r2}の
0115	ザッカ{r2[や]}屋{/r2}の
0117	{r2[けんしゅうちゅう]}研修中{/r2}の
0118	かけだしの
0119	はんにんまえの
0120	いちにんまえの
0121	じゅくれんの
0122	たつじんの
0123	でんせつの
0124	ラッシュ中の
0125	{r2[まんちょう]}満潮{/r2}の
0126	{r2[たいりょうはっせいちゅう]}大量発生中{/r2}の
0127	{r2[きり]}霧{/r2}の{r2[なか]}中{/r2}の
0128	{r2[かんちょう]}干潮{/r2}の
0129	{r2[あき]}秋{/r2}の
0130	{r2[はる]}春{/r2}の
0131	{r2[ふゆ]}冬{/r2}の
0132	{r2[なつ]}夏{/r2}の
0133	ハッピーな
0134	モードな
0135	エッジの効いた
0136	おしゃれな
0137	クールな
0138	シンプルな
0139	トラディショナルな
0140	トレンドの
0141	ナチュラルな
0142	ホットな
0143	{r2[いま]}今{/r2}を{r2[たの]}楽{/r2}しむ
0144	{r2[あきいろ]}秋色{/r2}の
0145	{r2[はるいろ]}春色{/r2}の
0146	きれいめの
0147	ザ・
0148	{r2[きんけつ]}金欠{/r2}の
0149	リッチな
0150	{r2[しれい]}司令{/r2}にあこがれる
0151	ヒーローになりたい
0152	{r2[ひゃっぱつひゃくちゅう]}百発百中{/r2}の
0154	つっぱしる
0155	{r2[れいせいちんちゃく]}冷静沈着{/r2}な
0156	ミュート{r2[ちゅう]}中{/r2}の
0157	{r2[りょうき]}両利{/r2}きの
0158	{r2[た]}立{/r2}ってプレイする
0159	{r2[はいしんちゅう]}配信中{/r2}の
