CommonMsg\CuiMsgWin.msbt
Msg_Network_Error	發生通訊錯誤。
Msg_Wrong_Password_Error	密碼錯誤，\n無法會合。
Msg_Master_Disconnected_Error	與主辦者的通訊已中斷。
Msg_Session_Is_Full_Error	連接目的地成員已滿，無法參加。\n請稍後重新再試。
Msg_Matchmake_Timeout_error	未在指定時間內達到必要人數，\n請重新再試一次。
Msg_Bad_Condition_Error	- 通訊已中斷 -\n當此錯誤重複發生時，\n可能是因用戶的網路環境不穩定所造成。\n詳細資訊請至Nintendo Switch 支援網站查詢。
Msg_No_Memory_Error_00	記憶體容量不足。
Msg_Slow_Loading_Error_00	載入時間超出預期。\n當此錯誤重複發生時，\n可能是因用戶的主機或SD卡故障所造成。\n詳細資訊請至Nintendo Switch 支援網站查詢。
Msg_NotifyDayChange	時間表已更新。
Msg_MatchMake_During_Battle_Error	因上一場對戰未能正常結束，\n目前無法進行下一場對戰。\n請稍後重新再試一次。
Msg_Inappropriate_Nickname_Error	無法使用此玩家名稱，\n請透過大廳設備更改玩家名稱。
Msg_Server_Maintenance_Error	伺服器即將進行維護，您將被轉移至廣場。\n（在維護期間，您會處於離線狀態。）
Msg_Session_May_Closed_Error	成員招募已結束，\n無法會合。
Msg_Target_Session_Is_Lost_Error	房間已解散，\n無法會合。
Msg_Other_Player_Disconnected_Error	其他參加的玩家已中斷連線。
CommonMsg\Dev.msbt
BugReportContent	――――\n■手順 / Procedures\n1.\n2.\n3.\n\n■結果 / Result\n\n■試行回数 / Number of attempts\nX/X\n\n■備考 / Remarks\n\n――――
CommonMsg\EmoteName.msbt
FeelingWarm00	火熱
Shivering00	怕冷
Win_Weapon03	武器姿勢
Win04	姿勢2
Win07	機械舞1
Win08	跳舞1
Win13	跳舞2
Win14	跳舞4
Win15	跳舞3
Win20	打招呼1
Crouching00	姿勢1
SittingCrossedLegs	盤腿坐
WaveHands	打招呼2
NwBtl00	占地鬥士
Win_Tricol	Win_Tricol
CommonMsg\FestRegion.msbt
JP	日本
US	美洲大陸/澳洲/紐西蘭
EU	歐洲
ASIA	香港/韓國
JP_Eve	日本
US_Eve	美洲大陸
EU_Eve	歐洲
ASIA_Eve	澳洲/紐西蘭/香港/韓國
CommonMsg\Glossary.msbt
IdolA	莎莎
IdolB	曼曼
IdolC	鬼福
Atarime	魚乾
AtarimeHimono	魚乾
Aori	小擬
Hotaru	小螢
Commander	司令
Ichigou	1號
Nigou	2號
Sangou	3號
Hime	小姬
Iida	飯田
Takowasa	DJ芥末章魚將軍
Kumasan	熊先生
RealKumasan	熊先生
KumasanOnlyName	熊先生
Mystery	謎之聲
WeaponShop	武器子
Judge	評審
JudgeJr	小評審
GearShopHead	螺螺
GearShopHead_Sub	田螺店長
GearShopClothes	花笠
GearShopShoes	椰子蟹先生
GoodsShop	脈子
FoodShop	阿龍
Vendor	刺冠
Dolphin	海豚豚
Mother	阿母
MotherFoodShop	店員
MotherWalk	導覽員
MotherMiniGame	員工
UnknownTalker_00	？？？
SplatsVille	蠻頹鎮
Splatlands	蠻頹地區
Crater	荒界
Alternative	幻界
Inkling	魷魚族
Octoling	章魚圈
PlatoonNew	New！噴嘴部隊
IdolGroup_01	Sea O'Colors\n（麻辣魷物）
IdolGroup_02	腕兒姐妹
IdolGroup_03	魚漿幫
Band01	Squid Squad
SquidSpawn	魷魚生成
SquidRoll	魷魚滾行
SquidSurge	魷魚登頂
RoeThrow	投擲鮭魚卵
MiniGameTitle	布陣大戰占地鬥士
MiniGameRank	占地鬥士等級
CardPack	卡包
SpecialPoint	特殊點數
SpecialAttack	特殊攻擊
CardPackFresh	新鮮卡包
CardSleeve	卡套
MiniGameKurage0	新手水母
MiniGameKurage1	悠閒水母
MiniGameKurage2	獨當一面水母
MiniGameKurage3	模仿水母
Shakeup	鮭壩
Shakeship	漂浮落難船
Shakespiral	新卷堡
Shakedent	麥年海洋發電所
RoeContainer	鮭魚卵容器
RoeCannon	鮭魚卵大炮
SakeArtilleryCannon	發射台
BigRun	大型跑
Uroko	鱗片
SakeBigBossGauge	頭目槽
CoopScenario	打工劇本
CoopEvent_Rush	狂潮
CoopEvent_Fog	霧
CoopEvent_Dozer	烤架魚出動
CoopEvent_Missile	大胖魚大量出現
CoopEvent_Geyser	尋找金鮭魚
CoopEvent_Hakobiya	走私魚來襲
CoopEvent_Tamaire	泥鮭魚噴發
CoopEvent_Relay	巨型龍捲風
SakelienStandard	鮭魚
SakelienLarge	大胖魚
SakelienSmall	小鮭魚
SakelienGolden	金鮭魚
SakeFlyBagman	拾蛋魚
SakelienBomber	炸彈魚
SakelienCupTwins	墊肩飛魚
SakelienShield	鐵板魚
SakelienSnake	蛇魚
SakelienTower	高塔魚
Sakediver	鼴鼠魚
Sakedozer	烤架魚
Sakepuncher	走私魚
SakepuncherBulletSimpl	直升機鮭魚
Sakerocket	蝙蝠魚
SakeSaucer	鍋蓋魚
SakePillar	柱魚
SakeDolphin	潛水魚
SakeArtillery	鐵球魚
SakeTamaire	泥鮭魚
SakeBigBoss	頭目鮭魚
SakelienGiant	橫綱
Msn_EnmOctTrooper_01	章魚兵
Msn_EnmOctTrooper_02	盾牌章魚兵
Msn_EnmOctTrooper_03	強化章魚兵
Msn_EnmOctTrooper_13	章魚彈跳兵
Msn_EnmOctCopter_01	章魚螺旋槳兵
Msn_EnmOctCopter_03	章魚鏡球兵
Msn_EnmOctCopter_04	炸彈章魚螺旋槳兵
Msn_EnmOctPod_01	章魚彈艙兵
Msn_EnmOctPod_02	大容量章魚彈艙兵
Msn_EnmOctEscape_01	章魚溜兵
Msn_EnmOctStamp_01	章魚印章兵
Msn_EnmOctStamp_02	波動章魚印章兵
Msn_EnmOctSniper_01	章魚狙擊兵
Msn_EnmOctCommander_01	章魚指揮官
Msn_EnmOctMissile_01	章魚柏林號
