adventure_note
DLP_adventure_note_001_00	什麼是冒險？
DLP_adventure_note_001_01	在這個即將開始的世界中，\n你將成為主角，並踏上冒險的旅程。
DLP_adventure_note_001_02	街坊間、房子裡、道路上、草叢中、\n洞窟裡，又或是森林裡……\n去和各種地方的人們搭話看看吧。
DLP_adventure_note_001_03	透過幫助有困難的人，\n或是解開各種謎題等等，\n新的道路將不斷地拓展開來。
DLP_adventure_note_001_04	有時候，有人會向你要求對戰，\n或是出現野生的生物擋住去路。\n藉由戰勝他們，你將變得越來越強。
DLP_adventure_note_001_05	不過，變強並不是冒險的唯一目的。
DLP_adventure_note_001_06	在旅途中與各式各樣的人互動，\n並讓自己從中成長。\n這才是這趟冒險的最大目的。
DLP_adventure_note_002_00	冒險筆記
DLP_adventure_note_002_01	這本[VAR FF00(0001)]冒險筆記[VAR FF00(0000)]裡寫著\n會在冒險中派上用場的功能，\n以及設施和道具等的使用方法。\n隨著冒險進展，\n筆記的內容會逐漸增加。\n[VAR FF00(0001)]冒險筆記[VAR FF00(0000)]收在[VAR FF00(0001)]包包[VAR FF00(0000)]的[VAR FF00(0001)]重要物品[VAR FF00(0000)]內，\n隨時可以拿出來翻閱。
DLP_adventure_note_003_00	選單
DLP_adventure_note_003_01	按下[VAR FF00(0001)]Ｘ鍵[VAR FF00(0000)]就能開啟[VAR FF00(0001)]選單[VAR FF00(0000)]。\n在[VAR FF00(0001)]選單[VAR FF00(0000)]的[VAR FF00(0001)]包包[VAR FF00(0000)]裡能使用道具。\n在[VAR FF00(0001)]選單[VAR FF00(0000)]中按下[VAR FF00(0001)]Ｒ鍵[VAR FF00(0000)]就能寫下[VAR FF00(0001)]紀錄[VAR FF00(0000)]。\n隨著冒險進展，\n還會逐漸增加新的功能。
DLP_adventure_note_004_00	寶可夢圖鑑
DLP_adventure_note_004_01	山梨博士對你提出了\n完成[VAR FF00(0001)]寶可夢圖鑑[VAR FF00(0000)]的委託。\n每當遇見新種類的寶可夢，\n牠就會被自動記錄進圖鑑裡。\n在選單中選擇[VAR FF00(0001)]圖鑑[VAR FF00(0000)]，\n就能查看已經記錄的寶可夢。
