adventure_note
DLP_adventure_note_001_00	冒険　とは？
DLP_adventure_note_001_01	あなたは　今から　始まる　世界の\n主人公と　なって\n冒険の旅に　出発　します。
DLP_adventure_note_001_02	街角　家の中　道路　草むら\nそして　洞窟や　森の中……\nいろいろな　ところにいる　人たちに\n話しかけて　みてください。
DLP_adventure_note_001_03	困っている　人を　助けたり\n謎を　解き明かしたり　することで\n新たな道は　開かれて　いきます。
DLP_adventure_note_001_04	時には　人々が\n勝負を　申し込んできたり\n野生の　生き物が\n立ちふさがることも　あるでしょう。\nそれらに　打ち勝つことで\nあなたは　強く　なっていきます。
DLP_adventure_note_001_05	けれど　強く　なることだけが\n冒険の　目的では　ありません。
DLP_adventure_note_001_06	旅を　進めていく　中で\nたくさんの　人々と　触れ合い\n自分自身を　成長　させること。\nそれが　この　冒険の\n最も　大きな　目的です。
DLP_adventure_note_002_00	ぼうけんノート
DLP_adventure_note_002_01	この　[VAR FF00(0001)]ぼうけんノート[VAR FF00(0000)]には\n冒険に　役立つ　機能や\n施設　道具などの　使い方が\n書いて　あります。\n冒険を　進めると\n内容が　増えて　いきます。\n[VAR FF00(0001)]ぼうけんノート[VAR FF00(0000)]は　[VAR FF00(0001)]バッグ[VAR FF00(0000)]の\n[VAR FF00(0001)]たいせつなもの[VAR FF00(0000)]に　入っており\nいつでも　確認できます。
DLP_adventure_note_003_00	メニュー
DLP_adventure_note_003_01	[VAR FF00(0001)]Ｘボタン[VAR FF00(0000)]で　[VAR FF00(0001)]メニュー[VAR FF00(0000)]が　開きます。\n[VAR FF00(0001)]メニュー[VAR FF00(0000)]の　[VAR FF00(0001)]バッグ[VAR FF00(0000)]では　道具を　使え\n[VAR FF00(0001)]メニュー[VAR FF00(0000)]で　[VAR FF00(0001)]Ｒボタン[VAR FF00(0000)]を　押せば\n[VAR FF00(0001)]レポート[VAR FF00(0000)]で　記録が　できます。\n冒険を　進めて　いくと\n新しい　機能が　増えて　いきます。
DLP_adventure_note_004_00	ポケモン図鑑
DLP_adventure_note_004_01	ナナカマド博士に　頼まれたこと\nそれは　[VAR FF00(0001)]ポケモン図鑑[VAR FF00(0000)]の　完成です。\n新しい　ポケモンに　出会うたび\n図鑑に　自動で　記録されます。\nメニューで　[VAR FF00(0001)]図鑑[VAR FF00(0000)]を　選ぶと\n記録した　ポケモンを　見られます。
