adventure_note
DLP_adventure_note_001_00	ぼうけん　とは？
DLP_adventure_note_001_01	あなたは　いまから　はじまる　せかいの\nしゅじんこうと　なって\nぼうけんのたびに　しゅっぱつ　します。
DLP_adventure_note_001_02	まちかど　いえのなか　どうろ　くさむら\nそして　どうくつや　もりのなか……\nいろいろな　ところにいる　ひとたちに\nはなしかけて　みてください。
DLP_adventure_note_001_03	こまっている　ひとを　たすけたり\nなぞを　ときあかしたり　することで\nあらたなみちは　ひらかれて　いきます。
DLP_adventure_note_001_04	ときには　ひとびとが\nしょうぶを　もうしこんできたり\nやせいの　いきものが\nたちふさがることも　あるでしょう。\nそれらに　うちかつことで\nあなたは　つよく　なっていきます。
DLP_adventure_note_001_05	けれど　つよく　なることだけが\nぼうけんの　もくてきでは　ありません。
DLP_adventure_note_001_06	たびを　すすめていく　なかで\nたくさんの　ひとびとと　ふれあい\nじぶんじしんを　せいちょう　させること。\nそれが　この　ぼうけんの\nもっとも　おおきな　もくてきです。
DLP_adventure_note_002_00	ぼうけんノート
DLP_adventure_note_002_01	この　[VAR FF00(0001)]ぼうけんノート[VAR FF00(0000)]には\nぼうけんに　やくだつ　きのうや\nしせつ　どうぐなどの　つかいかたが\nかいて　あります。\nぼうけんを　すすめると\nないようが　ふえて　いきます。\n[VAR FF00(0001)]ぼうけんノート[VAR FF00(0000)]は　[VAR FF00(0001)]バッグ[VAR FF00(0000)]の\n[VAR FF00(0001)]たいせつなもの[VAR FF00(0000)]に　はいっており\nいつでも　かくにんできます。
DLP_adventure_note_003_00	メニュー
DLP_adventure_note_003_01	[VAR FF00(0001)]Ｘボタン[VAR FF00(0000)]で　[VAR FF00(0001)]メニュー[VAR FF00(0000)]が　ひらきます。\n[VAR FF00(0001)]メニュー[VAR FF00(0000)]の　[VAR FF00(0001)]バッグ[VAR FF00(0000)]では　どうぐを　つかえ\n[VAR FF00(0001)]メニュー[VAR FF00(0000)]で　[VAR FF00(0001)]Ｒボタン[VAR FF00(0000)]を　おせば\n[VAR FF00(0001)]レポート[VAR FF00(0000)]で　きろくが　できます。\nぼうけんを　すすめて　いくと\nあたらしい　きのうが　ふえて　いきます。
DLP_adventure_note_004_00	ポケモンずかん
DLP_adventure_note_004_01	ナナカマドはかせに　たのまれたこと\nそれは　[VAR FF00(0001)]ポケモンずかん[VAR FF00(0000)]の　かんせいです。\nあたらしい　ポケモンに　であうたび\nずかんに　じどうで　きろくされます。\nメニューで　[VAR FF00(0001)]ずかん[VAR FF00(0000)]を　えらぶと\nきろくした　ポケモンを　みられます。
DLP_adventure_note_004_02	ポケモンの　ぶんるいや　みため\nタイプや　せいべつなど\nポケモンに　ついての　あらゆる\nじょうほうが　かくにん　できます。\nまた　ぶんぷを　みれば　どこに\nせいそくして　いるかも　わかります。
DLP_adventure_note_004_03	なきごえがめんでは　ポケモンの\nなきごえが　きけます。\nジョイコンを　ふれば\nこもった　こえが　でたり\nどうじに　おおくの　こえが　きけたり\nするので　ぜひ　ためしてみてください。
DLP_adventure_note_005_00	ポケモンセンター
DLP_adventure_note_005_01	シンオウちほうの　かくちには\n[VAR FF00(0001)]ポケモンセンター[VAR FF00(0000)]が　あります。\nきずついた　ポケモンを　げんきに\nしてくれる　ところです。\nあかい　やねが　めじるしです。
DLP_adventure_note_005_02	[VAR FF00(0001)]ポケモンセンター[VAR FF00(0000)]に　ある\n[VAR FF00(0001)]パソコン[VAR FF00(0000)]の　[VAR FF00(0001)]ボックス[VAR FF00(0000)]には　じぶんの\nポケモンを　あずけることが　できます。\nあずけた　ポケモンは\nどこの　[VAR FF00(0001)]ポケモンセンター[VAR FF00(0000)]の\n[VAR FF00(0001)]パソコン[VAR FF00(0000)]からでも　ひきだせます。
DLP_adventure_note_006_00	ポケモンボックス
DLP_adventure_note_006_01	[VAR FF00(0001)]ポケモンボックス[VAR FF00(0000)]を　つかうと\nてもちの　ポケモンと　ポケモンセンターの\nパソコンに　あずけた　ポケモンを\nいれかえることが　できます。\nメニューから　[VAR FF00(0001)]ポケモン[VAR FF00(0000)]を　えらんだあと\n[VAR FF00(0001)]Ｒボタン[VAR FF00(0000)]を　おすことで　つかえます。
DLP_adventure_note_007_00	ポケッチ
DLP_adventure_note_007_01	[VAR FF00(0001)]ポケッチ[VAR FF00(0000)]は　ポケモントレーナーの\nぼうけんを　てだすけしてくれる\nべんりな　さいしんがた　ガジェットです。\nデジタルどけいや　けいさんきなど\nさまざまな　アプリが　あります。
DLP_adventure_note_007_02	[VAR FF00(0001)]ポケッチ[VAR FF00(0000)]を　つかうには\nまず　[VAR FF00(0001)]Ｒボタン[VAR FF00(0000)]を　おします。\nさらに　[VAR FF00(0001)]Ｒボタン[VAR FF00(0000)]を　おすと　がめんが\nかくだい／しゅくしょう　します。\n[VAR FF00(0001)]Ｌスティック[VAR FF00(0000)]で　ゆびカーソルを　うごかし\n[VAR FF00(0001)]Ａボタン[VAR FF00(0000)]を　おすか\nちょくせつ　がめんを　タッチして\nアプリを　そうさします。\nみぎはしの　[VAR FF00(0001)]あかいボタン[VAR FF00(0000)]で\nつぎの　アプリに　きりかわります。\nがめんを　とじるには　[VAR FF00(0001)]Ｒボタン[VAR FF00(0000)]を\nおしっぱなしに　します。
DLP_adventure_note_007_03	アプリは　シンオウちほうに　いる\nおおくの　ひとと　かかわることで\nふえて　いきます。\nなかには　ぼうけんを　すすめる　うえで\nかかせない　アプリも　あるので\nよく　さがしてみて　くださいね。
DLP_adventure_note_008_00	ひでんわざ
DLP_adventure_note_008_01	みちにある　きを　きったり\nいわを　こわしたり　まちに　もどったり\nしたいときは　[VAR FF00(0001)]ポケッチ[VAR FF00(0000)]の　アプリから\n[VAR FF00(0001)]ひでんわざ[VAR FF00(0000)]を　つかいましょう。\nやせいの　ポケモンが　ちからを\nかして　くれます。
DLP_adventure_note_008_02	[VAR FF00(0001)]ひでんわざ[VAR FF00(0000)]は　とくていの　わざマシンを\nてに　いれると　[VAR FF00(0001)]ポケッチ[VAR FF00(0000)]の\n「ひでんわざ」に　ついか　されます。\nしかし　その　[VAR FF00(0001)]ひでんわざ[VAR FF00(0000)]を　つかうには\nかくちの　ジムリーダーから　ジムバッジを\nもらう　ひつようが　あります。
DLP_adventure_note_009_00	つり
DLP_adventure_note_009_01	すいめんに　むかって　[VAR FF00(0001)]つりざお[VAR FF00(0000)]を\nつかうと　[VAR FF00(0001)]つり[VAR FF00(0000)]を　することが　できます。\nポケモンが　くいついて　「！」が　でたら\nすばやく　[VAR FF00(0001)]Ａボタン[VAR FF00(0000)]で　つりあげます。\nいろいろな　ばしょで　ためして\nいろいろな　ポケモンを　つりましょう！
DLP_adventure_note_010_00	じてんしゃ
