adventure_note
DLP_adventure_note_001_00	什么是冒险？
DLP_adventure_note_001_01	你将成为即将开始的世界的主人公，\n并踏上冒险的旅程。
DLP_adventure_note_001_02	尝试去和街角、房子里、道路上、草丛中、\n又或是洞窟以及森林里……\n各种地方的人们多多交流吧。
DLP_adventure_note_001_03	通过助人为乐\n或是解开谜题，\n新的道路就会为你而开。
DLP_adventure_note_001_04	有时，有些人会向你提出挑战。\n又或者会遇到一些野生的生物\n阻碍你前行。\n战胜他们后，你就会逐渐变强。
DLP_adventure_note_001_05	不过你的冒险目的，\n并不仅是一味变强而已。
DLP_adventure_note_001_06	在旅途中去接触各式各样的人，\n促使你的自我成长。\n这才是本次冒险的最大目的。
DLP_adventure_note_002_00	冒险笔记
DLP_adventure_note_002_01	这本[VAR FF00(0001)]冒险笔记[VAR FF00(0000)]中\n记载了一些有助于冒险的功能、\n设施以及道具等的使用方式。\n内容会随着你的\n冒险进展逐渐增加。\n[VAR FF00(0001)]冒险笔记[VAR FF00(0000)]放在了[VAR FF00(0001)]包包[VAR FF00(0000)]的[VAR FF00(0001)]重要物品[VAR FF00(0000)]内，\n随时可以拿出来翻阅。
DLP_adventure_note_003_00	菜单
DLP_adventure_note_003_01	按下[VAR FF00(0001)]Ｘ键[VAR FF00(0000)]能够打开[VAR FF00(0001)]菜单[VAR FF00(0000)]。\n在[VAR FF00(0001)]菜单[VAR FF00(0000)]的[VAR FF00(0001)]包包[VAR FF00(0000)]里能使用道具，\n而在[VAR FF00(0001)]菜单[VAR FF00(0000)]中按下[VAR FF00(0001)]Ｒ键\n[VAR FF00(0000)]就可以写下[VAR FF00(0001)]记录[VAR FF00(0000)]了。\n随着冒险的进行，\n[VAR FF00(0001)]菜单[VAR FF00(0000)]中还会逐渐增加新的功能。
DLP_adventure_note_004_00	宝可梦图鉴
DLP_adventure_note_004_01	山梨博士拜托你的事，\n那就是完成[VAR FF00(0001)]宝可梦图鉴[VAR FF00(0000)]。\n每当你遇到新种类的宝可梦，\n它就会被自动记录进图鉴里。\n从菜单中选择[VAR FF00(0001)]图鉴，\n[VAR FF00(0000)]就能查看已经被记录的宝可梦了。
DLP_adventure_note_004_02	在图鉴中可以确认宝可梦的分类、外观、\n属性以及性别等所有宝可梦的相关信息。\n另外，还能从分布中了解到它们的栖息地。
DLP_adventure_note_004_03	在叫声画面可以听到宝可梦的叫声。\n挥动Joy-Con，就能听到那只宝可梦的叫声。\n改变挥动方式，叫声会变得模糊，\n或许还能同时听到很多叫声。\n请一定要试试看。
DLP_adventure_note_005_00	宝可梦中心
DLP_adventure_note_005_01	神奥地区各地都设有[VAR FF00(0001)]宝可梦中心[VAR FF00(0000)]。\n那里能够使受伤的宝可梦恢复活力。\n红色房顶就是这个设施的标志。
DLP_adventure_note_005_02	你可以将自己的宝可梦\n寄放在[VAR FF00(0001)]宝可梦中心[VAR FF00(0000)]的[VAR FF00(0001)]电脑盒子[VAR FF00(0000)]里。\n所寄放的宝可梦可以从\n任何[VAR FF00(0001)]宝可梦中心[VAR FF00(0000)]的[VAR FF00(0001)]电脑[VAR FF00(0000)]中取出来。
DLP_adventure_note_006_00	宝可梦盒
DLP_adventure_note_006_01	使用[VAR FF00(0001)]宝可梦盒\n[VAR FF00(0000)]就能将同行的宝可梦与寄放在\n宝可梦中心电脑中的宝可梦替换。\n从菜单中选择[VAR FF00(0001)]宝可梦[VAR FF00(0000)]后按下[VAR FF00(0001)]Ｒ键\n[VAR FF00(0000)]就能使用。
DLP_adventure_note_007_00	宝可表
DLP_adventure_note_007_01	[VAR FF00(0001)]宝可表[VAR FF00(0000)]能够为宝可梦训练家\n提供很多冒险上的帮助，\n是个十分方便的最新型装置。\n包含数字时钟、计算器等各种不同的应用。
