adventure_note
DLP_adventure_note_001_00	Your Adventure Begins
DLP_adventure_note_001_01	You are about to enter a world where you will\nembark on a grand adventure of your very own.
DLP_adventure_note_001_02	Speak to people and check things wherever you\ngo, be it in towns, roads, or caves. Gather\ninformation and hints from every possible source.
DLP_adventure_note_001_03	New paths will open to you when you help people\nin need, overcome challenges, and solve mysteries.
DLP_adventure_note_001_04	At times, you will be challenged by others to a\nbattle. At other times, wild creatures may stand\nin your way. By overcoming such hurdles, you\nwill gain great power.
DLP_adventure_note_001_05	However, your adventure is not solely about\nbecoming powerful.
DLP_adventure_note_001_06	On your travels, we hope that you will meet\ncountless people and, through them,\nachieve personal growth.\nThis is the most important objective of\nthis adventure.
DLP_adventure_note_002_00	The Guidebook
DLP_adventure_note_002_01	This [VAR FF00(0001)]Guidebook [VAR FF00(0000)]explains how to use various\nfunctions, facilities, and items that will help you\non your journey.\nMore content will be added to the [VAR FF00(0001)]Guidebook [VAR FF00(0000)]as\nyou progress through your adventure.\nThe [VAR FF00(0001)]Guidebook [VAR FF00(0000)]can be found in the [VAR FF00(0001)]Key Items\n[VAR FF00(0000)]pocket of your [VAR FF00(0001)]Bag[VAR FF00(0000)], and you can check it at\nany time.
DLP_adventure_note_003_00	The Menu
DLP_adventure_note_003_01	Press the [VAR FF00(0001)]X Button[VAR FF00(0000)] to open the [VAR FF00(0001)]menu[VAR FF00(0000)]. From there,\nyou can either open your [VAR FF00(0001)]Bag [VAR FF00(0000)]to use items or press\nthe [VAR FF00(0001)]R Button[VAR FF00(0000)] to [VAR FF00(0001)]save[VAR FF00(0000)] your progress.\nMore functions will be added to the [VAR FF00(0001)]menu [VAR FF00(0000)]as your\nadventure continues.
DLP_adventure_note_004_00	The Pokédex
DLP_adventure_note_004_01	Professor Rowan has entrusted you with the task of\ncompleting your [VAR FF00(0001)]Pokédex[VAR FF00(0000)]. Each time you catch a\nnew Pokémon, its information will be\nautomatically recorded.\nSelect [VAR FF00(0001)]Pokédex [VAR FF00(0000)]from the menu to view your registries.
DLP_adventure_note_004_02	Your Pokédex stores all sorts of [VAR FF00(0001)]data [VAR FF00(0000)]about each\nPokémon you add to it, including its category,\nappearance, type, and gender ratios.\nYou can also select [VAR FF00(0001)]Habitat [VAR FF00(0000)]to see where a\nPokémon lives in the wild.
DLP_adventure_note_004_03	While on the [VAR FF00(0001)]Cry [VAR FF00(0000)]screen of a Pokédex entry,\nyou can listen to that Pokémon’s cry.\nShaking the [VAR FF00(0001)]Joy-Con[VAR FF00(0000)] allows you to hear different\nsounds, like added reverberation or a chorus\neffect, so be sure to try it out.
DLP_adventure_note_005_00	Pokémon Centers
DLP_adventure_note_005_01	There are [VAR FF00(0001)]Pokémon Centers[VAR FF00(0000)] all over the\nSinnoh region.\nVisit a Pokémon Center to restore your tired\nPokémon to full health. These facilities are easily\nrecognizable by their distinctive red roofs.
DLP_adventure_note_005_02	You can use the [VAR FF00(0001)]PC [VAR FF00(0000)]located in every [VAR FF00(0001)]Pokémon\nCenter [VAR FF00(0000)]to access the [VAR FF00(0001)]Pokémon Storage System[VAR FF00(0000)].\nFrom there, you can move your Pokémon into\nand out of [VAR FF00(0001)]Boxes[VAR FF00(0000)].
DLP_adventure_note_006_00	Pokémon Boxes
DLP_adventure_note_006_01	You can use [VAR FF00(0001)]Pokémon Boxes[VAR FF00(0000)] to swap Pokémon in\nyour party for Pokémon you left at a Pokémon\nCenter’s PC.\nTo access the Boxes, select [VAR FF00(0001)]Pokémon [VAR FF00(0000)]from the\nmenu and then press the [VAR FF00(0001)]R Button[VAR FF00(0000)].
DLP_adventure_note_007_00	The Pokétch
DLP_adventure_note_007_01	The [VAR FF00(0001)]Pokétch[VAR FF00(0000)] is a convenient and cutting-edge\ngadget designed to help out Trainers on their\nadventures. There are various Pokétch apps\nyou can use, such as the Digital Watch app\nand the Calculator app.
DLP_adventure_note_007_02	To use your [VAR FF00(0001)]Pokétch[VAR FF00(0000)], first press the [VAR FF00(0001)]R Button[VAR FF00(0000)].\nPress [VAR FF00(0001)]R Button[VAR FF00(0000)] again to enlarge or reduce\nthe screen size.\nUse the [VAR FF00(0001)]Left Stick[VAR FF00(0000)] to move the finger cursor,\nand press the [VAR FF00(0001)]A Button[VAR FF00(0000)], or directly touch the\nscreen, to control your apps.\nToggle through your apps with the [VAR FF00(0001)]red button[VAR FF00(0000)]\non the right side.\nPress and hold the [VAR FF00(0001)]R Button[VAR FF00(0000)] to close the Pokétch.
DLP_adventure_note_007_03	You will receive new Pokétch apps as you interact\nwith the many people you’ll meet across Sinnoh.\nSome of these apps are necessary to continue on\nyour adventure, so be sure to search far and wide\nfor them.
DLP_adventure_note_008_00	Hidden Moves
DLP_adventure_note_008_01	If you need to cut down a tree blocking your path,\nsmash a rock in your way, or fly to a familiar town,\nuse [VAR FF00(0001)]hidden moves[VAR FF00(0000)] from an app on your [VAR FF00(0001)]Pokétch[VAR FF00(0000)].\nA wild Pokémon will come lend a helping wing or paw!
DLP_adventure_note_008_02	New hidden moves are added to the [VAR FF00(0001)]Hidden\nMoves [VAR FF00(0000)]app on your [VAR FF00(0001)]Pokétch [VAR FF00(0000)]when you obtain\ncertain TMs.\nIn order to use a [VAR FF00(0001)]hidden move[VAR FF00(0000)] outside of battle,\nyou’ll have to earn its corresponding Gym Badge\nfrom the various Gym Leaders across the region.
DLP_adventure_note_009_00	Fishing
DLP_adventure_note_009_01	By facing a body of water and using your [VAR FF00(0001)]fishing\nrod[VAR FF00(0000)], you can go [VAR FF00(0001)]fishing[VAR FF00(0000)]. When a Pokémon bites\nand “[VAR FF00(0001)]![VAR FF00(0000)]” appears, hurry and press the [VAR FF00(0001)]A Button\n[VAR FF00(0000)]to reel it in.\nTry fishing in different areas to catch a wider\nvariety of Pokémon!
